FROM,TO,W,DRUG,
RYR2,ITPR1,0.76627,0,
RYR2,AKAP6,0.88173,0,
TRPC3,SLC2A4,0.57575,0,
TRPC4,TRPC3,0.47842,0,
TRPC3,SLC8A1,0.61625,0,
TRPC3,AQP2,0.28258,0,
PTGFR,AGTR1,0.64251,0,
ACTC1,DMD,0.87606,0,
ACTA1,DMD,0.51953,0,
PGM5,DMD,0.91565,0,
RGS2,ADCY5,0.66004,0,
LRRK2,RGS2,0.7249,0,
CACNA1C,BIN1,0.74562,0,
TNNT2,TPM1,0.71454,0,
TPM1,TPM2,0.93545,0,
TPM1,TNNT1,0.0563,0,
ANK2,SLC8A1,0.50441,0,
KCNMA1,MAP1A,0.90186,0,
KCNMA1,CACNA1H,0.93577,0,
KCNMB1,KCNMA1,0.94165,0,
FLNA,BRCA2,0.15584,0,
FLNA,DCN,0.57868,0,
FLNC,FLNA,0.94954,0,
ASB2,FLNA,0.89052,0,
NEFL,GRIN1,0.04187,0,
IL1RAPL1,NCS1,0.44728,0,
NUF2,NDC80,0.48643,0,
TP73,ATF3,0.0688,0,
SHH,ADCYAP1,0.11503,0,
SERPINA1,ELANE,0.03634,0,
BUB1B,TP73,0.29293,0,
GPRASP1,PER1,0.6832,0,
MCM10,MCM2,0.58162,0,
MCM10,CDC45,0.61207,0,
SPAG5,AURKA,0.6342,0,
AOC1,AURKA,0.03457,0,
MAP1A,ACTA1,0.53,0,
MAP1A,MAP1B,0.92645,0,
HJURP,CENPA,0.66094,0,
DTL,CDT1,0.59979,0,
HDAC4,ESR1,0.02858,0,
FHL1,ESR1,0.04669,0,
NR2F1,ESR1,0.06339,0,
HIST1H1C,CDK1,0.18109,0,
CCNB1,TSPYL2,0.31837,0,
RUNX1T1,ZBTB16,0.59503,0,
ZBTB16,GATA1,0.40282,0,
HBEGF,ZBTB16,0.06848,0,
ZBTB16,GNAO1,0.56681,0,
RNF112,ZBTB16,0.55135,0,
MYLK,PPP1R12A,0.93688,0,
PRSS2,MMP9,0.00237,0,
APBB1,BLM,0.26905,0,
TSHZ3,APBB1,0.67299,0,
UHRF1,HIST2H3A,0.04768,0,
UHRF1,EME1,0.34592,0,
TRIM63,KCNMB1,0.65744,0,
RAD51,POLQ,0.56315,0,
ACTA1,KIF23,0.0746,0,
CENPE,FANCA,0.35974,0,
ACTN3,ACTN2,0.36953,0,
ACTN2,KCNA5,0.48947,0,
PALLD,ACTN2,0.81454,0,
MAPT,BIN1,0.60807,0,
MAD2L1,UBD,0.10751,0,
VIL1,ACTA1,0.01432,0,
DTNA,ACTA1,0.51598,0,
NEXN,ACTA1,0.56068,0,
ACTA1,GAS7,0.37701,0,
ACTA1,CNN1,0.57332,0,
SPRR1A,ACTA1,0.03428,0,
ACTA1,SMTN,0.51526,0,
LRRK2,MAP1B,0.71539,0,
FBLN5,SOD3,0.62276,0,
KLF9,PGR,0.43354,0,
RAD51,BLM,0.61675,0,
RAD51AP1,RAD51,0.50953,0,
FGF2,DCN,0.49867,0,
MPDZ,MYO3A,0.00106,0,
THBS1,DCN,0.46357,0,
SYNC,DES,0.86868,0,
COL14A1,DCN,0.66772,0,
FHL1,KCNA5,0.59422,0,
ADAMTS5,MMP13,0.06336,0,
KCNA5,KCNA2,0.25641,0,
ANXA6,A2M,0.6318,0,
A2M,AMBP,0.02235,0,
A2M,CTSE,0.07728,0,
DOK6,NTRK3,0.19943,0,
CXCR2,GRIA1,0.00936,0,
CNTN1,CNTNAP2,0.00602,0,
BOC,CDON,0.68461,0,
KY,FLNC,0.88189,0,
EEF1A2,LRRK2,0.17682,0,
PLEKHH2,TGFB1I1,0.35791,0,
MSI1,NPR1,0.11003,0,
RGS20,GNAZ,0.17581,0,
AKAP6,PDE4D,0.69953,0,
KCNA2,CNTNAP2,0.01981,0,
KCNAB1,KCNA2,0.32659,0,
NRCAM,ANK2,0.00158,0,
PDZK1,PDZK1IP1,0.0727,0,
FBXO32,MYOCD,0.71611,0,
TRIP13,ORC1,0.46499,0,
LMNB1,PRPH,0.08142,0,
KCNB1,KCNG1,0.06921,0,
DTNA,SYNC,0.81878,0,
PRSS2,SERPINA1,0.02529,0,
NCAM1,ST8SIA2,0.01184,0,
MFAP2,FBN2,0.06819,0,
SKA1,SKA3,0.67229,0,
KIF15,MKI67,0.61476,0,
TPSAB1,TPSB2,0.8313,0,
MUC16,MSLN,0.34077,0,
SPC25,SPC24,0.53296,0,
ZIC2,RNF180,0.08096,0,
SCUBE3,SCUBE1,0.02042,0,
ABCA4,CNGB1,0.02486,0,
ITPR1,RYR2,0.76627,0,
RYR2,CACNA1C,0.83114,0,
CAMK2A,RYR2,0.81067,0,
AKAP6,RYR2,0.88173,0,
PKD1,TLN1,0.76801,0,
PKD1,PRKAA2,0.5925,0,
ITGA5,PKD1,0.75436,0,
SLC2A4,TRPC3,0.57575,0,
TRPC3,TRPC4,0.47842,0,
ITPR1,TRPC3,0.61519,0,
SLC8A1,TRPC3,0.61625,0,
AQP2,TRPC3,0.28258,0,
HTR1B,GNAZ,0.47504,0,
HTR1B,GNAO1,0.55901,0,
AGTR1,PTGFR,0.64251,0,
PRKG1,ITPR1,0.84113,0,
ITPR1,CDK1,0.28453,0,
PRKG1,RGS2,0.73873,0,
PRKG1,PPP1R12A,0.88396,0,
PRKG1,PPP1R14A,0.83099,0,
PRKG1,NPR1,0.43912,0,
PRKG1,PDE5A,0.70884,0,
PRKG1,SPP1,0.02767,0,
PRKG1,PLN,0.83594,0,
PRKG1,CCDC80,0.59733,0,
PRKG1,MRVI1,0.92616,0,
YYYY-00-DD 00:00:SS,PRKG1,0.11407,0,
TNNT1,PRKG1,0.08826,0,
DMD,ACTC1,0.87606,0,
DMD,ACTA1,0.51953,0,
