FROM,TO,W,DRUG,
AKAP5,PRKAR2B,0.09106,0,
JPH2,CAV3,0.82435,0,
GRIN2B,PTPN5,0.04168,0,
ESR1,CAV1,0.27015,0,
CAV1,KCNA5,0.1428,0,
CAV1,CAV2,0.9555,0,
CAV1,EDNRB,0.53973,0,
CAV1,S1PR1,0.63851,0,
PTGIS,CAV1,0.59219,0,
ACTC1,DMD,0.37478,0,
ACTA1,DMD,0.53145,0,
PGM5,DMD,0.48169,0,
ANXA1,KRT8,0.33893,0,
SLC9A3R1,FZD4,0.24531,0,
SYT1,SV2B,0.10985,0,
CNR1,HCRTR1,0.49689,0,
CNR1,ADORA2A,0.10869,0,
NUF2,NDC80,0.71253,0,
CGA,TSHB,0.01992,0,
LTB,LTA,0.56285,0,
IL33,HIST1H2AI,0.14414,0,
GPRASP1,PER1,0.78812,0,
PTTG1,USP44,0.2765,0,
MCM10,MCM2,0.59091,0,
MCM10,CDC45,0.67203,0,
NPAS4,ARNT2,0.03797,0,
SPAG5,AURKA,0.58988,0,
AOC1,AURKA,0.09709,0,
PAX2,WT1,0.02574,0,
CCNF,MYBL2,0.61733,0,
HJURP,CENPA,0.80141,0,
CEBPA,E2F1,0.19977,0,
GINS4,MCM2,0.49967,0,
DTL,CDT1,0.46474,0,
MUC1,ESR1,0.20425,0,
ESR1,EPAS1,0.29221,0,
ESR1,FHL1,0.13026,0,
FN1,KLK3,0.02384,0,
FN1,DCN,0.00808,0,
CRP,FN1,0.01829,0,
FN1,LRG1,0.04914,0,
COMP,FN1,0.48082,0,
GALNT6,FN1,0.1671,0,
PPARG,TNP1,0.04503,0,
MUC1,GALNT15,0.22933,0,
ASCL1,CDK1,0.05332,0,
CDK1,ACE2,0.01738,0,
FUT2,CDK1,0.17083,0,
NR1D1,APOA4,0.09801,0,
CCNB1,TSPYL2,0.42218,0,
RUNX1T1,ZBTB16,0.59483,0,
ZBTB16,NLRP7,0.05394,0,
HBEGF,ZBTB16,0.36668,0,
RNF112,ZBTB16,0.58507,0,
TLX1,SOX2,0.01583,0,
KRT18,COL17A1,0.1382,0,
SIX3,NR4A3,0.04443,0,
ACTC1,SLC4A1,0.06866,0,
ACTC1,ABLIM3,0.14772,0,
ECT2,RACGAP1,0.7843,0,
UHRF1,HIST1H3J,0.07306,0,
UHRF1,EZH2,0.62829,0,
UHRF1,HIST2H3A,0.09208,0,
UHRF1,EME1,0.46835,0,
SOX2,TBX2,0.05189,0,
RAD51,POLQ,0.71649,0,
ACTA1,KIF23,0.02736,0,
ALX4,LEF1,0.11808,0,
RUNX1T1,BCL6,0.58226,0,
AIRE,HIST1H3J,0.03613,0,
ECT2,PLK4,0.72674,0,
MAD2L1,UBD,0.22877,0,
KPNA2,GATA3,0.03646,0,
CDC6,KPNA2,0.33456,0,
PAX5,EBF1,0.03461,0,
F12,EPAS1,0.24054,0,
VIL1,ACTA1,0.00548,0,
CNN1,ACTA1,0.01138,0,
PPP1R3A,PLN,0.94493,0,
GJB2,GJB3,0.4291,0,
RGS4,GNAI1,0.14122,0,
RASD1,GNAI1,0.58681,0,
RAD51,BLM,0.60858,0,
RAD51AP1,RAD51,0.5944,0,
CDKN3,CDC25A,0.61548,0,
ODF1,SPAG5,0.02853,0,
TENM1,SORBS1,0.31148,0,
INSM1,SORBS1,0.05136,0,
FGF2,DCN,0.45749,0,
GPC3,FGF2,0.3761,0,
CCNE1,HIST1H1B,0.02443,0,
CTSE,INS,0.01598,0,
CRYAB,AVP,0.26905,0,
SCN5A,CRYAB,0.26536,0,
HBEGF,BCL6,0.44526,0,
TBX2,NKX2-5,0.07181,0,
ADM,MME,0.15201,0,
PTK6,ERBB2,0.19489,0,
CHRNA1,ITGA7,0.02326,0,
PLA2G2A,DCN,0.21298,0,
ADRB2,OPRD1,0.10189,0,
HTR4,ADRB2,0.36748,0,
ADRB3,ADRB2,0.35311,0,
AKAP12,ADRB2,0.69756,0,
ESR2,OXT,0.42301,0,
FHL1,KCNA5,0.07391,0,
MMP13,ADAMTS5,0.07611,0,
BGN,COL2A1,0.23015,0,
APOB,BGN,0.09479,0,
KCNA5,KCNA2,0.10507,0,
HIST1H1B,FOXP3,0.02773,0,
ALPP,GPLD1,0.02178,0,
APCS,CRP,0.99993,0,
KCNA4,KCNA2,0.23256,0,
BMP2,ASCL1,0.08723,0,
HBB,HBZ,0.18209,0,
HBA1,HBB,0.8829,0,
HBA1,CPM,0.24452,0,
HBA1,HBG2,0.51262,0,
DEFA5,PRSS1,0.01201,0,
SERPINF2,PRSS1,0.12992,0,
KCNJ3,KCNJ6,0.13153,0,
KCNA2,CNTNAP2,0.11162,0,
KCNAB1,KCNA2,0.48135,0,
TRIP13,ORC1,0.70375,0,
LMNB1,PRPH,0.06125,0,
KCNG1,KCNB1,0.11792,0,
KCNB1,KCNG3,0.08665,0,
APCS,TG,0.03402,0,
HBG2,HBB,0.37546,0,
CHAD,COL2A1,0.03445,0,
COL2A1,COMP,0.01823,0,
ROBO3,NELL2,0.12662,0,
LIPE,FABP4,0.8501,0,
MYOM2,CKM,0.92616,0,
ADRA2B,RAB26,0.19403,0,
CD209,CLEC4M,0.19092,0,
CEACAM8,CEACAM6,0.01586,0,
COL17A1,LAD1,0.03195,0,
F7,HPN,0.23783,0,
MYOC,MYL2,0.00989,0,
OLFM3,MYOC,0.00966,0,
C4BPA,APCS,0.23731,0,
RBP4,RPE65,0.01543,0,
KCNJ10,KCNJ16,0.03122,0,
TRDN,HRC,0.97788,0,
SKA1,SKA3,0.71955,0,
KIF15,MKI67,0.80095,0,
TRDN,CASQ2,0.87396,0,
LDB2,LHX9,0.05366,0,
NEURL2,MYH3,0.45803,0,
MUC3A,TFF3,0.08441,0,
PNPLA2,PLIN5,0.81005,0,
DEFA1B,SERPINF2,0.11822,0,
CTRB1,SERPINF2,0.16137,0,
SERPINF2,CFD,0.37679,0,
SPC25,SPC24,0.69278,0,
CIDEC,CIDEA,0.86338,0,
KCNMB1,CLCA1,0.02133,0,
ATP1B2,NGB,0.04204,0,
DEFA3,DEFA1B,0.81546,0,
PGLYRP3,PGLYRP4,0.53238,0,
COMP,MATN3,0.3963,0,
AMY2A,GP2,0.00127,0,
LIPF,CLPS,0.0577,0,
PNLIP,CLPS,0.86941,0,
RET,AKAP5,0.09731,0,
PRKAR2B,AKAP5,0.09106,0,
PPARG,SLC2A4,0.68397,0,
INS,SLC2A4,0.0015,0,
CAV3,JPH2,0.82435,0,
PTPN5,GRIN2B,0.04168,0,
IGF1,CAV1,0.63834,0,
CAV1,ESR1,0.27015,0,
