FROM,TO,W,DRUG,
RYR2,PKD2,0.63018,0,
RYR2,ITPR1,0.74148,0,
RYR2,AKAP6,0.57946,0,
PKD2,HAVCR1,0.17883,0,
ITPR1,PKD2,0.89348,0,
PKD2,TPM1,0.85219,0,
PKD2,FLNA,0.85689,0,
PKD2,ACTN2,0.37365,0,
JPH2,CAV3,0.31007,0,
ELAVL4,GAP43,0.92593,0,
GRIN2B,DLG2,0.34819,0,
PTPN5,GRIN2B,0.3129,0,
CAV1,KCNA5,0.67797,0,
PTGIS,CAV1,0.7207,0,
FLNA,CASR,0.14218,0,
CASR,PI4K2B,0.04852,0,
BRCA1,ITPR1,0.5358,0,
TRPC1,DMD,0.84399,0,
NOS1,DMD,0.78468,0,
ACTA1,DMD,0.19979,0,
PGM5,DMD,0.88326,0,
SSTR5,DRD2,0.02522,0,
RGS2,ADCY5,0.73781,0,
RGS2,ADRA1A,0.47724,0,
LRRK2,RGS2,0.73478,0,
KCNE2,CACNA1C,0.15449,0,
TPM1,TPM2,0.94639,0,
TPM1,TNNT1,0.12272,0,
TRPC1,FGFR1,0.89039,0,
L1CAM,FGFR1,0.68121,0,
FLRT1,FGFR1,0.66676,0,
CAV3,SLC8A1,0.27834,0,
ANK2,SLC8A1,0.7901,0,
KCNMA1,TRPC1,0.77294,0,
KCNMA1,MAP1A,0.89955,0,
KCNMA1,CACNA1H,0.89854,0,
KCNMB1,KCNMA1,0.93101,0,
KCNMB2,KCNMA1,0.37159,0,
SCG3,CHGA,0.39261,0,
CAV3,TRPC1,0.34884,0,
CAV3,NOS1,0.22531,0,
CAV3,SVIL,0.23988,0,
CAV3,SLC22A11,0.15808,0,
TNNI3,ACTA1,0.07156,0,
CENPF,SNAP25,0.45822,0,
TRIM9,SNAP25,0.53183,0,
FLNA,BRCA1,0.49253,0,
FLNA,BRCA2,0.43272,0,
FLNC,FLNA,0.90066,0,
ASB2,FLNA,0.9251,0,
PHLDB2,FLNA,0.59201,0,
TRDN,RYR1,0.56508,0,
IL1RAPL1,NCS1,0.54724,0,
SYT4,TFAP2B,0.42548,0,
NUF2,NDC80,0.80547,0,
CENPH,NDC80,0.77621,0,
TSHB,CGA,0.91696,0,
KCNE1,KCNQ1,0.20175,0,
CXCL12,ELANE,0.21361,0,
ELANE,GZMB,0.13457,0,
SERPINA1,ELANE,0.10974,0,
ELANE,F5,0.06643,0,
ELANE,SERPINA3,0.40427,0,
BUB1B,TP73,0.6022,0,
DBF4,CDK1,0.88205,0,
GPRASP1,PER1,0.77217,0,
PTTG1,USP44,0.59096,0,
MCM10,MCM2,0.89257,0,
MCM10,CDC45,0.87883,0,
AJUBA,AURKB,0.60609,0,
SLC1A2,AJUBA,0.26572,0,
CDC25C,PCNA,0.77456,0,
SPAG5,AURKA,0.81741,0,
AURKA,USP2,0.27513,0,
EYA1,PAX2,0.04175,0,
PAX2,LMX1B,0.05473,0,
FOXG1,CDK1,0.15746,0,
MAP1A,ACTA1,0.19601,0,
MAP1A,MAP1B,0.79903,0,
MET,HGFAC,0.32506,0,
BMP4,CHRDL1,0.33365,0,
CCND1,MYBL2,0.58755,0,
CCNF,MYBL2,0.78276,0,
HJURP,CENPA,0.91479,0,
GINS4,MCM2,0.80132,0,
DTL,CDT1,0.82555,0,
KRT18,HSPA1A,0.12074,0,
HSPA1A,SOX9,0.12594,0,
APOB,HSPA1A,0.00638,0,
HSPA1A,SLC6A4,0.03378,0,
SIX2,EYA1,0.03969,0,
NOS1,ATP2B4,0.75664,0,
DLGAP2,NOS1,0.67528,0,
CCNB1,TSPYL2,0.54143,0,
RUNX1T1,ZBTB16,0.61032,0,
ZBTB16,AGTR2,0.05781,0,
ZBTB16,GNAO1,0.64124,0,
RNF112,ZBTB16,0.65709,0,
LCN2,MMP9,0.08731,0,
MMP9,PRSS2,0.01274,0,
SIX3,NR4A3,0.05777,0,
APBB1,BLM,0.67813,0,
TSHZ3,APBB1,0.94898,0,
UHRF1,HIST1H3J,0.13701,0,
TRIM63,KCNMB1,0.37556,0,
PHYHIP,ADGRB1,0.3107,0,
CXCL8,TAT,0.02021,0,
TFF1,GKN2,0.02717,0,
MUC6,TFF1,0.12556,0,
ACTA1,KIF23,0.18975,0,
BRCA1,FANCA,0.78392,0,
CENPE,FANCA,0.72678,0,
RUNX1T1,BCL6,0.3378,0,
ACTN3,ACTN2,0.33614,0,
ACTN2,KCNA5,0.19779,0,
PALLD,ACTN2,0.3171,0,
ADAM12,ACTN2,0.10528,0,
