FROM,TO,W,DRUG,
NTRK2,UCHL1,0.33711,0,
ANXA1,KRT8,0.44508,0,
PDZD3,CFTR,0.21681,0,
SERPINA1,ELANE,0.11717,0,
ELANE,F5,0.10639,0,
RUNX3,MYCN,0.37426,0,
PAX2,WT1,0.03378,0,
PAX2,LMX1B,0.09156,0,
FN1,CRP,0.04048,0,
LOX,FN1,0.42864,0,
FN1,MIA,0.0337,0,
GALNT6,FN1,0.04587,0,
RSC1A1,ODC1,0.36797,0,
USH1C,ANKS4B,0.87891,0,
IFIT2,KRT18,0.06524,0,
TRIM63,MYBPC3,0.16745,0,
MYOZ1,TRIM63,0.1505,0,
IGFBP3,ADAM12,0.33933,0,
HIST1H1A,CCNA1,0.03794,0,
MUC6,TFF1,0.23564,0,
ACTN2,KCNA5,0.28063,0,
ADAM12,ACTN2,0.06932,0,
MAPT,TTLL6,0.23222,0,
SOX4,GATA3,0.10544,0,
VIL1,ACTA1,0.09388,0,
ACTA1,CNN1,0.03108,0,
GC,ACTA1,0.01447,0,
ACTA1,SPRR1A,0.07088,0,
MMP15,PROC,0.30251,0,
LUM,COL1A2,0.8077,0,
DPP4,CCL5,0.01537,0,
CSF2,PRG2,0.16281,0,
GATA6,NKX2-1,0.04046,0,
TP53I3,GPX3,0.55875,0,
DES,NEB,0.06406,0,
ITGB4,ALOX12,0.25966,0,
CFTR,KRT8,0.55335,0,
PROX1,HNF1A,0.46241,0,
HNF4A,HNF1A,0.83838,0,
CDX2,HNF1A,0.70558,0,
MME,GAST,0.01705,0,
PROX1,NR5A2,0.20916,0,
CHRNA1,ITGA7,0.16831,0,
PLEKHB1,GNGT1,0.15716,0,
ABCC2,PDZK1,0.22449,0,
S100A9,S100A8,0.93283,0,
PDZK1,CFTR,0.25302,0,
CFTR,ANO1,0.00803,0,
FCGR2A,CRP,0.02834,0,
FHL1,KCNA5,0.44632,0,
COL2A1,BGN,0.01007,0,
APOB,BGN,0.01525,0,
CTSG,F5,0.10658,0,
RAB3B,PIGR,0.01061,0,
CRP,FCN2,0.01701,0,
CFHR4,CRP,0.25783,0,
TF,GAST,0.16874,0,
FCGR3A,GP6,0.23588,0,
FCGR3A,IGHG1,0.30966,0,
HBB,HBZ,0.15289,0,
ONECUT1,NR0B2,0.41049,0,
HNF4A,FOXO6,0.08129,0,
HNF4A,NR0B1,0.06434,0,
MDK,TGM1,0.42304,0,
CCL19,CXCL13,0.41173,0,
AGT,PRG2,0.09819,0,
CTSE,EDN3,0.18527,0,
IAPP,PDX1,0.04473,0,
KCNJ3,KCNJ6,0.1989,0,
LOX,DPT,0.12482,0,
KIR2DL4,FCER1G,0.47481,0,
FCER1G,GP6,0.23352,0,
CLEC4C,FCER1G,0.43631,0,
KCNB1,KCNG3,0.10464,0,
PDX1,MAFA,0.01736,0,
PLAU,SLURP1,0.26405,0,
HBG2,HBB,0.59998,0,
COL2A1,TGFBI,0.00781,0,
MMP7,SERPINA1,0.23305,0,
SERPINA1,CTRB1,0.0817,0,
TNC,MEP1B,0.04649,0,
MFAP2,FBN2,0.24161,0,
MYOC,MYL2,0.08833,0,
MYOC,OLFM3,0.01549,0,
SLC40A1,HAMP,0.16127,0,
PDX1,SLC2A2,0.15975,0,
SLC7A11,BAAT,0.01965,0,
RRAD,TPM2,0.09367,0,
ABCG5,ABCG8,0.91076,0,
PCDHA1,PCDHGB1,0.17452,0,
SPINK5,CASP14,0.0914,0,
LUM,ACAN,0.24505,0,
MUC16,MSLN,0.12523,0,
LOXL2,MARCKSL1,0.38704,0,
LIN28B,TRIM71,0.53999,0,
GABRR1,P2RX2,0.20239,0,
ALX4,ALX1,0.186,0,
DAZ1,BOLL,0.07918,0,
CIDEA,CIDEC,0.0587,0,
IGHG1,IGKC,0.94665,0,
IGLC1,IGHG1,0.81321,0,
A1CF,APOBEC1,0.35538,0,
IGLC1,IGHV3-33,0.83537,0,
MEP1B,MEP1A,0.38796,0,
DEFA3,DEFA1B,0.99844,0,
UPK1B,UPK3B,0.05397,0,
DSPP,MMP20,0.07799,0,
CLPS,LIPF,0.02312,0,
SCGB2A2,SCGB1D2,0.88157,0,
