FROM,TO,W,DRUG,
TRPC3,NTRK2,0.22543,0,
TRPC3,SLC2A4,0.1562,0,
TRPC3,TRPC7,0.10471,0,
ITPR2,TRPC3,0.18572,0,
AQP2,TRPC3,0.23825,0,
GRIN2B,PTPN5,0.00874,0,
ABCB1,CAV1,0.35415,0,
TEK,CAV1,0.30971,0,
CAV1,CAV2,0.7138,0,
CAV1,PTGIS,0.19466,0,
TNNC1,TNNI1,0.81831,0,
ADORA1,GRM1,0.23301,0,
TRPV5,PDZD3,0.27946,0,
CFTR,PDZD3,0.2379,0,
PDZD3,PTGIR,0.14437,0,
CDH2,GRIN1,0.15179,0,
PLAT,GRIN1,0.12083,0,
EFHC1,CACNA1E,0.2493,0,
NCS1,KCND2,0.22119,0,
TRPV3,TRPV1,0.06385,0,
TFAP2B,SYT4,0.06339,0,
ADCYAP1,SHH,0.2331,0,
CXCL12,ELANE,0.30557,0,
TFPI,ELANE,0.4995,0,
ELANE,SERPINA1,0.56505,0,
ELANE,SERPINA3,0.57702,0,
FLT3,PTPRJ,0.28424,0,
PRKCD,TOP2A,0.03758,0,
AURKA,SPAG5,0.19183,0,
AURKA,AOC1,0.41715,0,
ALB,CRYAA,0.24556,0,
ALB,ORM1,0.03801,0,
MET,HGFAC,0.48583,0,
CACNA1E,HSPA1A,0.02291,0,
HSPA1A,SLC6A4,0.11897,0,
GPR37,SLC6A3,0.26992,0,
DLGAP2,NOS1,0.14856,0,
NOS1,ZDHHC23,0.20517,0,
USH1C,ANKS4B,0.8911,0,
MYOZ1,TRIM63,0.25353,0,
TRIM63,TNNC1,0.33248,0,
CD22,CD19,0.0212,0,
SFN,ANPEP,0.13438,0,
MST1,KLKB1,0.73389,0,
SERPINA3,KLK3,0.22774,0,
SLPI,KLK3,0.33231,0,
VTN,IGF2,0.04623,0,
PLG,IGF2,0.01272,0,
KNDC1,MAP2,0.15161,0,
TPPP,SLC6A3,0.31047,0,
PROS1,C4BPA,0.35461,0,
PROS1,C4BPB,0.29843,0,
CAMP,LBP,0.09415,0,
ACTA1,VIL1,0.03053,0,
ACTA1,DTNA,0.17192,0,
ACTA1,EPS8,0.18889,0,
ACTA1,MYO10,0.22892,0,
ACTA1,S100A1,0.15371,0,
MAP1B,LRRK2,0.38501,0,
MAP1B,MAG,0.28172,0,
FBLN5,SOD3,0.44268,0,
CAMP,PGC,0.4938,0,
CUBN,LGALS3,0.34946,0,
IGFBP2,KLK2,0.2612,0,
KLK2,SERPINA4,0.12211,0,
GJB2,GJB3,0.04229,0,
NR1H4,PPARGC1A,0.46337,0,
HNF4A,PPARGC1A,0.35346,0,
CREB3L3,PPARGC1A,0.20736,0,
MST1,SERPINA3,0.44546,0,
TMPRSS11D,MST1,0.14323,0,
HR,VDR,0.18875,0,
NEB,DES,0.20243,0,
S100A1,DES,0.21657,0,
HNF1A,PROX1,0.0803,0,
HNF1A,ALB,0.36796,0,
HNF4A,HNF1A,0.9304,0,
GATA5,HNF1A,0.51893,0,
CYP3A4,UGT2B7,0.00979,0,
SERPINA3,KLK4,0.16401,0,
CTSD,SERPINA4,0.0386,0,
NEDD4L,KCNH2,0.20325,0,
SCNN1G,NEDD4L,0.42379,0,
SCNN1B,NEDD4L,0.38816,0,
ABCC2,PDZK1,0.3801,0,
PLA2G2A,DCN,0.22439,0,
COL14A1,DCN,0.57704,0,
CFTR,ADRB2,0.59028,0,
HTR4,ADRB2,0.2476,0,
ADRB2,AKAP12,0.42336,0,
ALB,CUBN,0.49197,0,
ALB,RBP4,0.76614,0,
PON1,ALB,0.43937,0,
PON1,APOA1,0.58488,0,
S100A9,S100A8,0.90884,0,
ESR2,OXT,0.18916,0,
CFTR,PDZK1,0.34657,0,
CFTR,SLC26A8,0.31658,0,
PLG,CXCL2,0.0007,0,
PLG,PTX3,0.04169,0,
ITIH4,PTX3,0.10087,0,
KCNIP2,KCND2,0.17279,0,
UMOD,MMP8,0.056,0,
TTR,AGER,0.17153,0,
AGER,S100A1,0.24571,0,
DOK6,NTRK3,0.2366,0,
DRD1,CAV2,0.34587,0,
TTR,LRP2,0.16266,0,
LRP2,SLC9A3,0.10417,0,
CNTN1,CNTNAP2,0.21478,0,
CNTN1,SCNN1B,0.43244,0,
ART1,CAMP,0.04073,0,
MT3,TTR,0.13083,0,
RBP4,TTR,0.12942,0,
PRTN3,CXCL14,0.10468,0,
MAG,NGFR,0.4191,0,
NGFR,SALL2,0.36726,0,
MYO5A,TRIM2,0.79436,0,
HBA1,HBB,0.99724,0,
HBA1,HBE1,0.02595,0,
FHL2,WT1,0.06343,0,
EDARADD,EDAR,0.43806,0,
EEF1A2,LRRK2,0.11195,0,
SSTR3,SSTR2,0.39232,0,
KNG1,AGT,0.13767,0,
ENPEP,AGT,0.7707,0,
VTN,KNG1,0.27123,0,
KNG1,PLG,0.32318,0,
F11,KNG1,0.86178,0,
KNG1,HABP2,0.04574,0,
RGS4,PLCB1,0.10277,0,
ADRB1,ADRA2A,0.14511,0,
FGA,HRG,0.03386,0,
SERPINF2,FGA,0.40728,0,
ADORA1,DRD1,0.03948,0,
KCNA2,CNTNAP2,0.07794,0,
AOC1,DAO,0.71714,0,
AMPH,VTN,0.02225,0,
PDZK1,PTGIR,0.12873,0,
PDZK1,PDZK1IP1,0.82498,0,
PRSS3,TFPI,0.02841,0,
ST14,CDCP1,0.40956,0,
SERPINE2,PLAU,0.03152,0,
PROC,CP,0.11382,0,
CP,ATP7A,0.33798,0,
SERPINC1,PLG,0.85426,0,
SLC22A1,POU2AF1,0.04787,0,
COL2A1,LOXL4,0.08443,0,
COL2A1,COMP,0.05176,0,
SERPING1,F2,0.12881,0,
SERPINE2,F2,0.06091,0,
PROZ,F2,0.49616,0,
SLC6A4,GPM6B,0.211,0,
FBLN1,FGB,0.23667,0,
PRSS3,SERPINA1,0.13875,0,
PRSS2,SERPINA1,0.82165,0,
SERPING1,PLG,0.1413,0,
PAPPA,PLG,0.25608,0,
C7,PLG,0.09589,0,
EMID1,COL26A1,0.02785,0,
SERPING1,PLAT,0.18625,0,
C1S,SERPING1,0.78408,0,
C4A,APOA2,0.13223,0,
