FROM,TO,W,DRUG,
TRPC3,TRPC6,0.09778,0,
SLC8A1,TRPC3,0.06836,0,
AQP2,TRPC3,0.08414,0,
NOS3,DNM1,0.38156,0,
SLC9A3R2,PODXL,0.66117,0,
AGTR1,BDKRB2,0.15859,0,
TNNC1,TNNI1,0.43122,0,
CAV3,SLC8A1,0.07817,0,
ANK2,SLC8A1,0.42818,0,
CAV3,NOS1,0.01937,0,
TNNI3,ACTA1,0.05043,0,
TNNI3,TNNC1,0.09351,0,
SRCIN1,SNAP25,0.16761,0,
TRIM9,SNAP25,0.15867,0,
KCNQ1,KCNE1,0.37397,0,
MCM10,CDC45,0.80529,0,
CRYAA,CRYAB,0.18223,0,
ALB,CRYAA,0.67624,0,
HGFAC,MET,0.23142,0,
HJURP,CENPA,0.86625,0,
DTL,CDT1,0.64089,0,
DLGAP2,NOS1,0.03948,0,
LCN2,MMP9,0.10394,0,
PRSS2,MMP9,0.0306,0,
MYOZ1,TRIM63,0.0689,0,
TNNC1,TRIM63,0.02716,0,
NEUROD1,GATA3,0.03304,0,
PITX1,NEUROD1,0.01032,0,
KDR,PDGFRB,0.57495,0,
ACTA1,CNN1,0.14122,0,
GC,ACTA1,0.00552,0,
ACTA1,DNASE1,0.07472,0,
CDKN1C,NR4A2,0.19838,0,
PPP1R3A,PLN,0.142,0,
KNG1,CTSS,0.19598,0,
NR0B1,NR1I3,0.03715,0,
TREM1,TYROBP,0.07283,0,
TREM2,TYROBP,0.91897,0,
CLEC5A,TYROBP,0.44899,0,
PTGIR,TBXA2R,0.57176,0,
CNTN1,PTPRB,0.74552,0,
PGLYRP1,TREM1,0.00592,0,
C1QA,DCN,0.01907,0,
RBP4,ALB,0.07664,0,
CEACAM8,CEACAM1,0.40476,0,
PTX3,SELP,0.12666,0,
PLG,PTX3,0.01413,0,
C1QA,PTX3,0.02936,0,
ITIH4,PTX3,0.14021,0,
CNTN1,SCNN1B,0.62675,0,
ADCY2,ADCY1,0.21833,0,
RBP4,TTR,0.06571,0,
FCGR1A,FCGR3A,0.87181,0,
HBA1,HBB,0.98955,0,
C3,CR2,0.03171,0,
LRRK2,EEF1A2,0.14882,0,
CCKAR,CCKBR,0.0348,0,
CALCA,CALCA,1,0,
C3,MASP1,0.01911,0,
KNG1,PLG,0.44069,0,
F11,KNG1,0.94883,0,
SLC4A1,ANK1,0.21892,0,
DRD1,RDM1,0.00574,0,
RAPGEF4,RIMS2,0.3819,0,
APOH,LDLR,0.17864,0,
SERPINC1,PLG,0.66367,0,
PTGER3,PTGER1,0.50378,0,
C1QA,ADIPOQ,0.00376,0,
DCC,TRIM9,0.1204,0,
CLEC3B,PLG,0.34042,0,
APOH,PLG,0.75471,0,
C7,PLG,0.41432,0,
DSG1,KLK5,0.00469,0,
DEFA1B,C1QB,0.00353,0,
F12,APOH,0.07164,0,
MYOC,MYL2,0.04853,0,
MYOC,OLFM3,0.23883,0,
TRDN,HRC,0.22356,0,
TRDN,CASQ2,0.21535,0,
DAZ1,DAZL,0.01038,0,
PKNOX2,HOXB1,0.13173,0,
LHX9,LDB2,0.10298,0,
MSLN,MUC16,0.00174,0,
CSRP3,SPTB,0.17635,0,
