FROM,TO,W,DRUG,
NUF2,NDC80,0.84658,0,
CXCL12,ELANE,0.06138,0,
BUB1B,TP73,0.41158,0,
MCM10,MCM2,0.79221,0,
MCM10,CDC45,0.75923,0,
SIX3,GMNN,0.29387,0,
HJURP,CENPA,0.83247,0,
DTL,CDT1,0.51609,0,
SOCS3,IDO1,0.05087,0,
FUT2,CDK1,0.31692,0,
LCN2,MMP9,0.05966,0,
PRSS2,MMP9,0.00265,0,
UHRF1,EME1,0.50809,0,
ACTA1,KIF23,0.14162,0,
MAD2L1,UBD,0.23592,0,
ACTA1,SPRR1A,0.06487,0,
PGC,CAMP,0.03423,0,
HGF,LCN2,0.05799,0,
RAD51,BLM,0.64599,0,
RAD51AP1,RAD51,0.73759,0,
CDKN3,CDC25A,0.66187,0,
CCNE1,HIST1H1B,0.07059,0,
FCN2,CRP,0.32289,0,
PRTN3,CXCL14,0.04917,0,
HBA1,HBB,0.96453,0,
HBA1,HBG2,0.57692,0,
CALCA,CALCA,1,0,
GNAZ,RGS20,0.0938,0,
GNAO1,GRM6,0.00979,0,
NCAPH,CAPG,0.35892,0,
TRIP13,ORC1,0.66355,0,
PDX1,MAFA,0.00454,0,
RHAG,SLC4A1,0.88531,0,
HBG2,HBB,0.55356,0,
COL2A1,COMP,0.00376,0,
CDKN3,MS4A3,0.12327,0,
ADIPOQ,CDH13,0.0448,0,
COMP,COL9A1,0.10372,0,
LPA,MMP12,0.0986,0,
SKA1,SKA3,0.72915,0,
SHCBP1,TRIM71,0.10462,0,
MYH2,AMPD1,0.29152,0,
KIF15,MKI67,0.7512,0,
COMP,ECM1,0.0169,0,
CHRNA3,CHRNB4,0.19024,0,
CKM,CKB,0.05637,0,
SPC25,SPC24,0.72886,0,
DEFA3,DEFA1B,0.85036,0,
MATN3,COMP,0.01989,0,
TGM3,CALML5,0.14625,0,
CLPS,LIPF,0.00157,0,
SCGB2A2,SCGB1D2,0.34755,0,
PNLIP,CLPS,0.02502,0,
PNLIPRP2,CLPS,0.01352,0,
TIMD4,HAVCR1,0.00482,0,
EGF,STMN1,0.11012,0,
CDK1,STMN1,0.74943,0,
AURKB,STMN1,0.56547,0,
STMN1,HGF,0.16914,0,
WNK4,STK39,0.07703,0,
WNK4,CLDN4,0.09304,0,
MAP3K15,WNK4,0.12189,0,
CNR1,GNAZ,0.05525,0,
E2F7,E2F8,0.79519,0,
AURKA,NDC80,0.57586,0,
AURKB,NDC80,0.61466,0,
NEK2,NDC80,0.82304,0,
NDC80,NUF2,0.84658,0,
CDK1,FOXM1,0.82855,0,
FOXM1,CDK1,0.82855,0,
CCNB1,FOXM1,0.75452,0,
FOXM1,CCNB1,0.75452,0,
FOXM1,CDC25C,0.65351,0,
FOXM1,AURKB,0.61044,0,
PLK1,FOXM1,0.85575,0,
FOXM1,PLK1,0.85575,0,
FOXM1,CDC25A,0.6238,0,
CCNE1,FOXM1,0.16372,0,
FOXM1,CENPF,0.81591,0,
ASF1B,CHAF1B,0.70295,0,
CDC25C,ELANE,0.08451,0,
ELANE,CXCL12,0.06138,0,
ELANE,SERPINE1,0.10588,0,
ELANE,CSF3R,0.17886,0,
MYCN,MCM2,0.15572,0,
CDK1,MYCN,0.25583,0,
CCNB1,MYCN,0.25712,0,
PKMYT1,MYCN,0.0337,0,
AURKA,TP73,0.34305,0,
CDK1,TP73,0.38967,0,
PLK1,TP73,0.43455,0,
E2F1,TP73,0.48578,0,
TP73,BUB1B,0.41158,0,
REN,TP73,0.05649,0,
CDC20,PTTG1,0.82989,0,
CDK1,PTTG1,0.67609,0,
E2F1,PTTG1,0.51143,0,
BUB1B,PTTG1,0.59257,0,
AURKA,CDC20,0.5045,0,
CDK1,CDC20,0.74818,0,
CCNB1,CDC20,0.85591,0,
BUB1,CDC20,0.76717,0,
CDC20,BUB1,0.76717,0,
CDC20,MAD2L1,0.7197,0,
PLK1,CDC20,0.83022,0,
E2F1,CDC20,0.46535,0,
BUB1B,CDC20,0.75907,0,
