FROM,TO,W,DRUG,
TRPC3,SLC2A4,0.41735,0,
JPH2,CAV3,0.61261,0,
TRPC4,TRPC3,0.33213,0,
IGFBP3,CAV1,0.22496,0,
CAV1,KCNA5,0.23222,0,
CAV1,TEK,0.63299,0,
CAV1,EDNRB,0.66598,0,
CAV1,S1PR1,0.52145,0,
PI4K2B,CASR,0.02435,0,
CDC20,CDH1,0.33074,0,
HIST1H3J,CDH1,0.03523,0,
RRM2,CDH1,0.35968,0,
SIX1,CDH1,0.3855,0,
GRIN1,CDH2,0.04314,0,
GRIN1,NEFL,0.04599,0,
NUF2,NDC80,0.73239,0,
CGA,TSHB,0.01562,0,
TGFA,ELANE,0.13532,0,
ELN,ELANE,0.17826,0,
MCM10,MCM2,0.75749,0,
MCM10,CDC45,0.77334,0,
SPAG5,AURKA,0.741,0,
AOC1,AURKA,0.13823,0,
PLA2G4A,MYBL2,0.17087,0,
CCNF,MYBL2,0.75312,0,
HJURP,CENPA,0.8387,0,
GINS4,MCM2,0.70701,0,
DTL,CDT1,0.788,0,
ASCL1,CDK1,0.20939,0,
CDK1,ACE2,0.00959,0,
FUT2,CDK1,0.22513,0,
SLC6A3,GPR37,0.03937,0,
CDH23,USH1C,0.1295,0,
CCNB1,TSPYL2,0.39708,0,
ZBTB16,GATA1,0.42754,0,
RNF112,ZBTB16,0.54564,0,
SOX2,TLX1,0.11446,0,
USH1C,ANKS4B,0.64844,0,
COL17A1,KRT18,0.13924,0,
SIX3,NR4A3,0.06104,0,
ACTC1,SLC4A1,0.04398,0,
ACTC1,SCIN,0.05807,0,
UHRF1,HIST1H3J,0.06809,0,
UHRF1,HIST2H3A,0.13132,0,
IGFBP3,ADAM12,0.28935,0,
SOX2,TBX2,0.23456,0,
MUC6,TFF1,0.13213,0,
RAD51,POLQ,0.69075,0,
ACTA1,KIF23,0.12827,0,
ACTN2,KCNA5,0.67149,0,
ADAM12,ACTN2,0.24251,0,
NEUROD1,PITX1,0.02664,0,
ECT2,PLK4,0.7091,0,
MAD2L1,UBD,0.28772,0,
PLK1,RGCC,0.45081,0,
CDC6,KPNA2,0.77447,0,
KPNA2,SLC2A2,0.03644,0,
F12,EPAS1,0.35363,0,
VIL1,ACTA1,0.10004,0,
