FROM,TO,W,DRUG,
EGFR,CHIA,0.09546,0,
EGFR,AGER,0.15503,0,
STAP2,EGFR,0.12916,0,
LINGO1,EGFR,0.01615,0,
EGFR,RRAD,0.11717,0,
IGFBP2,EGFR,0.09031,0,
TRPC3,NTRK2,0.35077,0,
NTRK2,UCHL1,0.37747,0,
JPH2,CAV3,0.6297,0,
TRPC4,TRPC3,0.43975,0,
TRPC6,TRPC3,0.65535,0,
ELAVL4,GAP43,0.80628,0,
TRPC4,SLC9A3R2,0.23654,0,
SLC9A3R2,PODXL,0.65551,0,
TRPV4,CDH1,0.5361,0,
AQP4,TRPV4,0.33846,0,
DRD2,SSTR5,0.01007,0,
CDC20,CDH1,0.45417,0,
HIST1H3J,CDH1,0.12283,0,
SKP2,CDH1,0.44778,0,
RRM2,CDH1,0.47061,0,
SIX1,CDH1,0.46059,0,
NOS2,SLC9A3R1,0.15418,0,
ABCC2,SLC9A3R1,0.18157,0,
SLC9A3R1,CXCR2,0.26157,0,
SLC9A3R1,FZD4,0.48422,0,
SLC9A3,SLC9A3R1,0.17742,0,
SLC9A3R1,RLBP1,0.02029,0,
SV2B,SYT1,0.20835,0,
PDZD3,PTGIR,0.11178,0,
NME1,TGM2,0.43042,0,
TGM2,S100A7,0.1004,0,
NUF2,NDC80,0.66627,0,
CENPH,NDC80,0.65316,0,
ASF1B,CHAF1A,0.67028,0,
SLC2A1,GAPDH,0.63162,0,
TGFA,ELANE,0.16333,0,
ELN,ELANE,0.19349,0,
EZH2,MYCN,0.07129,0,
BUB1B,TP73,0.37228,0,
DBF4,CDK1,0.76655,0,
SCN4B,SCN2A,0.11911,0,
GPRASP1,PER1,0.61831,0,
MCM10,MCM2,0.71143,0,
MCM10,MCM7,0.73584,0,
MCM10,CDC45,0.67054,0,
CDC25C,PCNA,0.71938,0,
CHAF1A,PCNA,0.62556,0,
HLTF,PCNA,0.59493,0,
TRAIP,PCNA,0.74284,0,
SIX3,GMNN,0.15426,0,
SPAG5,AURKA,0.75963,0,
AOC1,AURKA,0.12164,0,
PAX2,LMX1B,0.12749,0,
FOXG1,CDK1,0.13813,0,
EXO1,MSH2,0.70264,0,
LTF,CP,0.09132,0,
MUC7,LTF,0.24315,0,
LTF,CEL,0.01951,0,
LTF,ITLN1,0.03858,0,
COL1A1,TXN,0.00189,0,
CCNF,MYBL2,0.76604,0,
HJURP,CENPA,0.78718,0,
MRC1,MCM2,0.47207,0,
GINS4,MCM2,0.54037,0,
APOA1,NDRG1,0.02591,0,
DTL,CDT1,0.75395,0,
ASCL1,CDK1,0.05167,0,
FUT2,CDK1,0.30485,0,
VANGL2,CDK1,0.39732,0,
SERPINB5,IRF6,0.70937,0,
PRSS21,SERPINB5,0.21549,0,
CDH23,USH1C,0.14361,0,
CCNB1,TSPYL2,0.50767,0,
RUNX1T1,ZBTB16,0.53063,0,
ZBTB16,GATA1,0.45441,0,
ZBTB16,NLRP7,0.10185,0,
RNF112,ZBTB16,0.55461,0,
SOX2,TLX1,0.05681,0,
GAPDH,CAMP,0.22385,0,
SIX3,NR4A3,0.0913,0,
ACTC1,FSCN1,0.1166,0,
ACTC1,SLC4A1,0.04184,0,
ACTC1,ABLIM3,0.1906,0,
ECT2,RACGAP1,0.77812,0,
RACGAP1,RND2,0.40106,0,
UHRF1,HIST1H3J,0.19949,0,
UHRF1,EZH2,0.65884,0,
UHRF1,HIST2H3A,0.33273,0,
UHRF1,EME1,0.66434,0,
TRIM63,MYBPC3,0.44378,0,
MYOZ1,TRIM63,0.35836,0,
TRIM63,TNNC1,0.27726,0,
MYO3A,ESPN,0.0961,0,
KLKB1,IGFBP3,0.23918,0,
IGFBP3,GPI,0.40313,0,
IGFBP3,ADAM12,0.22524,0,
TPD52L1,SFN,0.42784,0,
TPX2,SIAH2,0.483,0,
VRK1,SOX2,0.49755,0,
SOX2,TBX2,0.33596,0,
GKN2,TFF1,0.01801,0,
RAD51,POLQ,0.63714,0,
ACTA1,KIF23,0.26715,0,
CHAF1A,HIST1H3J,0.14457,0,
ACTN2,KCNA5,0.66269,0,
ADAM12,ACTN2,0.33189,0,
TP63,BRCA1,0.6389,0,
TWIST1,MYOD1,0.07166,0,
MYB,TAL1,0.1444,0,
ECT2,PLK4,0.67425,0,
MAD2L1,UBD,0.33911,0,
PTPRZ1,SCN1A,0.30378,0,
NME1,RRAD,0.32749,0,
CENPH,KIF2C,0.7088,0,
TNS1,DLC1,0.817,0,
CDC45,MRC1,0.44267,0,
SKP2,RRM2,0.5676,0,
SKP2,CCNA1,0.13475,0,
PLK1,RGCC,0.61128,0,
FLI1,GATA1,0.64104,0,
CDC6,KPNA2,0.79694,0,
KPNA2,RAG1,0.36847,0,
KPNA2,FERMT2,0.61824,0,
F12,EPAS1,0.43828,0,
TGFBR3,ENG,0.62227,0,
VIL1,ACTA1,0.02967,0,
FHOD1,ACTA1,0.36662,0,
NEXN,ACTA1,0.25015,0,
ACTA1,CNN1,0.32986,0,
SPRR1A,ACTA1,0.09036,0,
EGLN3,SIAH2,0.34822,0,
ADRB2,EGLN3,0.28938,0,
E2F1,NPDC1,0.45934,0,
FBLN5,SOD3,0.75923,0,
CAMP,PGC,0.06028,0,
NR5A1,SOX9,0.01624,0,
PPP1R3A,PLN,0.07406,0,
GJB2,GJB3,0.54689,0,
KLF9,PGR,0.67117,0,
RAD51,BLM,0.76442,0,
RAD51AP1,RAD51,0.76101,0,
RAD54B,RAD51,0.76297,0,
RAD51AP2,RAD51,0.18779,0,
CDKN3,CDC25A,0.62927,0,
INSM1,SORBS1,0.04904,0,
HOXA5,TWIST1,0.27194,0,
FGF2,FGFBP1,0.17118,0,
CD79A,FCAR,0.14755,0,
CP,MPO,0.09687,0,
NLRP3,TRIM31,0.03839,0,
PTPN21,ERBB4,0.55991,0,
GABRG2,ERBB4,0.19032,0,
GATA6,NKX2-1,0.56457,0,
ALOX12,ITGB4,0.26347,0,
NKX2-5,TBX2,0.21541,0,
NKX2-5,TBX5,0.22506,0,
SIX1,EYA2,0.49536,0,
NR5A1,PITX1,0.04033,0,
NR5A1,GATA4,0.0293,0,
LMCD1,GATA6,0.65025,0,
PTGIR,TBXA2R,0.55836,0,
TBXA2R,NME2,0.4189,0,
PTPRB,CNTN1,0.28695,0,
TAL1,NCAPG2,0.59349,0,
AKAP12,ADRB2,0.34083,0,
ALB,CUBN,0.09524,0,
FABP5,S100A7,0.36546,0,
THEG,CCT5,0.21369,0,
FHL1,KCNA5,0.54465,0,
A2M,LEP,0.10832,0,
PTX3,SELP,0.19609,0,
ITIH4,PTX3,0.20176,0,
KCNIP1,KCND2,0.18079,0,
IL22RA1,IL20RB,0.34009,0,
TTR,AGER,0.01697,0,
NEFH,NEFL,0.0376,0,
LCAT,A2M,0.73172,0,
A2M,PAEP,0.0488,0,
GRIA1,CXCR2,0.33313,0,
CFHR4,CRP,0.07304,0,
PF4,APOH,0.0613,0,
CNTNAP2,CNTN1,0.29597,0,
CNTN1,PTPRZ1,0.35284,0,
CNTN1,TNR,0.10561,0,
ART1,CAMP,0.11393,0,
PRTN3,ELN,0.19858,0,
CXCL14,PRTN3,0.09872,0,
RTN4R,NGFR,0.25909,0,
NGFR,MAG,0.09345,0,
TCF19,NGFR,0.13451,0,
HBB,HBZ,0.29388,0,
HBA1,HBB,0.97634,0,
HBA1,HBG2,0.55281,0,
MFAP4,SFTPD,0.16002,0,
UPK1A,SFTPD,0.0366,0,
TGM1,MDK,0.03139,0,
ST14,F2RL1,0.37012,0,
EDAR,EDARADD,0.19021,0,
CR2,FHOD1,0.08813,0,
EEF1A2,LRRK2,0.14374,0,
CALCRL,RAMP2,0.73322,0,
PMCH,NPY,0.29843,0,
SSTR1,SSTR5,0.20622,0,
CALCRL,RAMP3,0.72935,0,
ATRNL1,MC4R,0.05436,0,
ADCY10,SSTR5,0.00013,0,
MSI1,NPR1,0.39579,0,
ADRA1B,ADRA1A,0.62866,0,
NEFH,NEFM,0.1593,0,
RAPGEF4,RIMS2,0.20608,0,
SERPINB2,PLAU,0.11804,0,
DAO,AOC1,0.00291,0,
ASCL1,EPHB3,0.01247,0,
MFAP2,COL4A3,0.35754,0,
HECW1,RNF43,0.23637,0,
TRIP13,ORC1,0.69862,0,
F8,IGKV3-20,0.13987,0,
ST14,CDCP1,0.48665,0,
KCNB1,KCNG1,0.17022,0,
KCNB1,KCNG3,0.21414,0,
SLURP1,PLAU,0.13682,0,
SERPINE2,PLAU,0.33171,0,
RHAG,SLC4A1,0.86584,0,
TFAP2B,YEATS4,0.01165,0,
PROC,CP,0.04364,0,
LNX1,CXADR,0.33389,0,
HBG2,HBB,0.51341,0,
GRIK2,GRIK4,0.17554,0,
ELN,MFAP2,0.18555,0,
ELN,MMP12,0.27033,0,
ELN,FCN1,0.24736,0,
CDKN3,MS4A3,0.22919,0,
RAB26,ADRA2B,0.03742,0,
DRD5,GABRG2,0.00836,0,
KCTD1,TFAP2A,0.43882,0,
COL13A1,ITGA1,0.68696,0,
CD9,IZUMO1,0.24987,0,
MAG,RTN4R,0.15195,0,
PTGFRN,CD9,0.40027,0,
SCARF2,SCARF1,0.68652,0,
CLEC2A,KLRF2,0.23646,0,
APOH,F10,0.44201,0,
COL17A1,LAD1,0.40799,0,
KLK5,DSG1,0.56673,0,
MFAP2,FBN2,0.11294,0,
F12,APOH,0.11824,0,
MYOC,MYL2,0.20859,0,
OLFM3,MYOC,0.03793,0,
SKA1,SKA3,0.79887,0,
TRIM71,SHCBP1,0.39979,0,
TXNIP,SCEL,0.44183,0,
KIF15,MKI67,0.76832,0,
MIS18A,OIP5,0.662,0,
RMI1,RMI2,0.52165,0,
ANKRD1,CASQ2,0.1428,0,
DAZ1,DAZL,0.08879,0,
HOXB1,PKNOX2,0.12098,0,
SPINK5,CASP14,0.06661,0,
HTR3A,HTR3B,0.74255,0,
TRIM71,LIN28B,0.03137,0,
GABRR1,GABRR2,0.2066,0,
GABRR1,P2RX2,0.19952,0,
MMRN2,CLEC14A,0.70371,0,
ALX4,ALX1,0.08445,0,
CHRNA3,CHRNB4,0.43119,0,
SPC25,SPC24,0.78149,0,
IGHG1,IGKC,0.9297,0,
IGLC1,IGHG1,0.85997,0,
IGHG1,IGLV2-8,0.58628,0,
FCGR3B,IGHG1,0.13942,0,
REC114,MEI4,0.07485,0,
IGLC1,IGHV3-33,0.55832,0,
IGLC1,IGLV2-8,0.42749,0,
ATP1B2,NGB,0.07672,0,
DEFA3,DEFA1B,0.81234,0,
SPINT2,ITIH3,0.44121,0,
PGLYRP3,PGLYRP4,0.66433,0,
GP2,AMY2A,0.09878,0,
CALML5,TGM3,0.2498,0,
LIPF,CLPS,0.01242,0,
CPB2,PZP,0.10765,0,
LYPD3,CTRB1,0.09514,0,
MRAP,MRAP2,0.22032,0,
PNLIP,CLPS,0.93297,0,
SCUBE1,SCUBE3,0.14249,0,
SYT14,SYT16,0.18424,0,
CHRNA5,CHRNB2,0.22478,0,
P2RX2,P2RX1,0.4383,0,
CNGB1,ABCA4,0.04884,0,
CHRNB4,CHRNA5,0.46792,0,
PNLIPRP2,CLPS,0.3374,0,
RYR2,CACNA1C,0.7822,0,
CAMK2A,RYR2,0.56823,0,
TRPC4,EGFR,0.12602,0,
AGTR1,EGFR,0.21217,0,
EGFR,CDH1,0.19251,0,
CDH1,EGFR,0.19251,0,
CAV3,EGFR,0.16499,0,
EGFR,PCNA,0.13884,0,
AURKA,EGFR,0.22748,0,
EGFR,NDRG1,0.21419,0,
EGFR,MCM7,0.22371,0,
EGFR,PDK1,0.18673,0,
EGFR,CBLC,0.16298,0,
CCNB1,EGFR,0.17586,0,
EGFR,GAPDH,0.18411,0,
IGFBP3,EGFR,0.13713,0,
EGFR,SFN,0.15817,0,
EGFR,HIST1H3J,0.01093,0,
PMAIP1,EGFR,0.12083,0,
EGFR,CAMK2A,0.13123,0,
EGFR,CHEK1,0.22359,0,
ACTA1,EGFR,0.09328,0,
EGFR,E2F1,0.13322,0,
CHIA,EGFR,0.09546,0,
PAK1,EGFR,0.21469,0,
EGFR,CDC25A,0.22155,0,
CDC25A,EGFR,0.22155,0,
EGFR,PKM,0.22251,0,
ERBB4,EGFR,0.11104,0,
EGFR,ERBB4,0.11104,0,
EGFR,PRKCE,0.1718,0,
EGFR,TGFA,0.20376,0,
TGFA,EGFR,0.20376,0,
EGFR,ITGB4,0.35757,0,
ITGB4,EGFR,0.35757,0,
EGFR,PLD1,0.21158,0,
EGFR,HOXC10,0.081,0,
EGFR,IRS4,0.01471,0,
EGFR,S100A7,0.0352,0,
EGFR,PTK6,0.1287,0,
PTK6,EGFR,0.1287,0,
LEP,EGFR,0.02453,0,
PAG1,EGFR,0.19685,0,
EGFR,GH1,0.07615,0,
EGFR,MAPK8IP2,0.19484,0,
AGER,EGFR,0.15503,0,
EGFR,STAP2,0.12916,0,
ACKR3,EGFR,0.10404,0,
EPGN,EGFR,0.07152,0,
NTS,EGFR,0.0368,0,
L1CAM,EGFR,0.12266,0,
EGFR,WASF1,0.18183,0,
EFNA3,EGFR,0.13533,0,
EFNA2,EGFR,0.04636,0,
EGFR,JUP,0.24941,0,
JUP,EGFR,0.24941,0,
EGFR,LINGO1,0.01615,0,
EFNA4,EGFR,0.12046,0,
FGF21,EGFR,0.00644,0,
PGF,EGFR,0.25556,0,
FGF19,EGFR,0.03174,0,
EGFR,CA9,0.0929,0,
FGF5,EGFR,0.13054,0,
RRAD,EGFR,0.11717,0,
GPRC5A,EGFR,0.15259,0,
EGFR,KCNN1,0.00594,0,
EGFR,PFKP,0.18696,0,
EGFR,TNS4,0.25382,0,
EGFR,EPPK1,0.14653,0,
EGFR,KRT17,0.20875,0,
EGFR,GPNMB,0.16263,0,
POSTN,EGFR,0.08308,0,
