FROM,TO,W,DRUG,
NOS1,DMD,0.75827,0,
ACTA1,DMD,0.5963,0,
TGM2,ANXA1,0.71387,0,
S100A11,ANXA1,0.59583,0,
STMN2,RGS6,0.186,0,
STMN2,RGS20,0.08638,0,
VASP,ACTA1,0.34592,0,
ACTB,TGM2,0.53779,0,
TGM2,FN1,0.46982,0,
LTBP1,TGM2,0.43539,0,
TGM2,SPARC,0.40988,0,
S100A10,ANXA2,0.89309,0,
KCNK3,S100A10,0.55646,0,
NUF2,NDC80,0.79211,0,
ACTB,GAPDH,0.60548,0,
COTL1,ACTB,0.82994,0,
ACTB,CORO1A,0.36612,0,
ACTB,S100A11,0.82561,0,
VSNL1,ACTB,0.60341,0,
MYO1E,ACTB,0.77122,0,
RUNX2,VDR,0.75942,0,
RUNX2,MSX2,0.41777,0,
LHB,CGA,0.21294,0,
TSHB,CGA,0.27376,0,
LTB,LTA,0.87921,0,
LTA,UMOD,0.26193,0,
SLC2A1,GAPDH,0.61714,0,
RUNX3,MYCN,0.08844,0,
PTTG1,USP44,0.63411,0,
MCM10,CDC45,0.78286,0,
SH3KBP1,CTSB,0.6604,0,
CTSB,APOE,0.58448,0,
ACAN,CTSB,0.49003,0,
CTSB,CSTA,0.48079,0,
SPAG5,AURKA,0.83516,0,
AOC1,AURKA,0.47518,0,
SLA2,AURKA,0.21103,0,
PAX2,EYA1,0.10444,0,
PAX2,SFRP2,0.47422,0,
WT1,PAX2,0.35783,0,
CXCR4,DPP4,0.05154,0,
ACTA1,MAP1A,0.32484,0,
BGN,BMP4,0.40854,0,
MMP2,COL1A1,0.8953,0,
HJURP,CENPA,0.87839,0,
LGALS3BP,WNT4,0.13394,0,
DTL,CDT1,0.72148,0,
ARHGDIB,RAC2,0.89007,0,
SELL,VCAN,0.1532,0,
FBN1,VCAN,0.93154,0,
SELPLG,VCAN,0.46473,0,
VCAN,PLA2G2A,0.02295,0,
MMP2,FN1,0.78748,0,
TIMD4,FN1,0.10628,0,
GZMB,FN1,0.21481,0,
LTBP1,FN1,0.73127,0,
LOX,FN1,0.87952,0,
COL7A1,FN1,0.46242,0,
COL6A2,FN1,0.6844,0,
FN1,C1QA,0.4363,0,
FN1,LPA,0.41706,0,
MIA,FN1,0.21423,0,
IGFBP5,FN1,0.57327,0,
TNFAIP6,FN1,0.7503,0,
COMP,FN1,0.58504,0,
PPARG,HMGA1,0.49091,0,
PPARG,VDR,0.60361,0,
FUT2,CDK1,0.5209,0,
SERPINB5,COL1A2,0.32367,0,
PRSS21,SERPINB5,0.36971,0,
CDH23,USH1C,0.47393,0,
LCN2,MMP9,0.16659,0,
PRSS2,MMP9,0.39495,0,
USH1C,ANKS4B,0.63878,0,
GAPDH,PDIA2,0.39565,0,
CD28,PTPRC,0.91625,0,
ECT2,RACGAP1,0.82968,0,
RACGAP1,VAV1,0.46808,0,
LTBP1,IGFBP3,0.63294,0,
IGFBP3,ADAM12,0.49341,0,
LUM,MMP14,0.70713,0,
CD22,CD19,0.98439,0,
ANPEP,SFN,0.47025,0,
RAD51,POLQ,0.42485,0,
ACTA1,KIF23,0.28969,0,
MMP2,BACE1,0.40212,0,
COL7A1,MMP2,0.43294,0,
COL6A3,MMP2,0.91655,0,
LCN2,MMP2,0.24254,0,
ACTN2,PALLD,0.54639,0,
ADAM12,ACTN2,0.39003,0,
ITGB2,VNN2,0.39828,0,
ESM1,ITGB2,0.21257,0,
ECT2,PLK4,0.79494,0,
MAD2L1,UBD,0.30818,0,
KPNA2,GATA3,0.32502,0,
MRC1,CDC45,0.13125,0,
UBASH3B,KPNA2,0.58097,0,
KPNA2,CDA,0.49502,0,
MMP3,TIMP1,0.04332,0,
VAV1,ACTA1,0.29764,0,
ACTA1,COTL1,0.38034,0,
DTNA,ACTA1,0.45865,0,
ITGA2,ACTA1,0.31813,0,
ACTA1,AFAP1,0.36325,0,
ACTA1,XIRP1,0.12005,0,
CNN1,ACTA1,0.08254,0,
AIF1,ACTA1,0.32016,0,
SPRR1A,ACTA1,0.06307,0,
ACTA1,CCIN,0.25469,0,
LGALS3,FCGR2A,0.33829,0,
LGALS3,NCR3,0.07985,0,
LGALS3BP,LGALS3,0.74149,0,
LGALS3,MMP7,0.54822,0,
GJB2,GJB3,0.5859,0,
RAD51,BLM,0.79601,0,
RAD51AP1,RAD51,0.67593,0,
RAD51,RAD51AP2,0.1942,0,
LUM,COL1A2,0.86781,0,
DPP4,CCL5,0.09589,0,
GZMB,SRGN,0.58194,0,
ODF1,SPAG5,0.16799,0,
CD79A,PIGR,0.01973,0,
CD79A,IGHM,0.22811,0,
CD79A,JCHAIN,0.2477,0,
IGFBP5,SERPINE1,0.49751,0,
SERPINB4,CTSS,0.11404,0,
VDR,HR,0.41521,0,
CD4,TNFRSF10A,0.35083,0,
FCGR3A,CD4,0.7661,0,
FOXP3,RUNX1,0.51852,0,
TREM1,TYROBP,0.72859,0,
TREM2,TYROBP,0.92172,0,
MME,GAST,0.00963,0,
SERPINA3,KLK4,0.18937,0,
SIX1,EYA2,0.16666,0,
PITX1,NR5A1,0.03161,0,
GATA4,NR5A1,0.05562,0,
PIK3CG,SEC14L2,0.17941,0,
HLA-DRB5,HLA-DRA,0.60456,0,
HLA-DMB,HLA-DRA,0.96586,0,
MS4A1,HLA-DRA,0.39962,0,
APOE,ALB,0.31241,0,
ALB,SRGN,0.46816,0,
CEACAM1,ANXA2,0.6162,0,
CEACAM1,ITGB3,0.19959,0,
HAVCR2,CEACAM1,0.21408,0,
SPARC,MMP3,0.11216,0,
SPARC,COL3A1,0.95873,0,
DLGAP1,GRIN2C,0.03304,0,
BGN,COL4A2,0.86771,0,
KCND2,FLNC,0.1242,0,
IL20RB,IL22RA1,0.19821,0,
DPP4,PTPRC,0.07537,0,
IKZF3,FOXP3,0.68879,0,
FCGR3A,PTPRC,0.43065,0,
ITGAL,PTPRC,0.95014,0,
PTPRC,CD2,0.88133,0,
PTPRCAP,PTPRC,0.77721,0,
IL22RA1,FBXW12,0.66909,0,
FAP,PLAUR,0.59752,0,
TNFRSF11A,TMPRSS15,0.10753,0,
EPS8L1,CD3E,0.03164,0,
CD79B,CD3E,0.81928,0,
CNTNAP2,CNTN1,0.07029,0,
S100A4,ANXA2,0.51938,0,
CD247,CD5,0.91791,0,
CD247,CD2,0.91969,0,
LY6E,CD247,0.15769,0,
PROP1,PITX2,0.09143,0,
FCGR1A,FCGR3A,0.85526,0,
FCGR3A,IGHG1,0.43933,0,
POU2AF1,LGALS1,0.14059,0,
SPN,LGALS1,0.41225,0,
MUC16,LGALS1,0.3416,0,
FHL2,WT1,0.24466,0,
FHL2,IGFBP5,0.37826,0,
AIF1,LCP1,0.72712,0,
XIRP1,FLNC,0.09817,0,
CR2,CR1,0.883,0,
CCL19,CXCL13,0.79973,0,
S100A4,MYH2,0.16513,0,
WT1,AREG,0.15603,0,
C5,C2,0.35962,0,
GPR1,GPHA2,0.2362,0,
CHRDL2,INHBA,0.09694,0,
CHRM3,RGS4,0.30954,0,
NCAPH,CAPG,0.57504,0,
RDM1,DRD1,0.14947,0,
KCNA2,CNTNAP2,0.21835,0,
SERPINB2,PLAU,0.61078,0,
HLA-DPA1,HLA-DPB1,0.93815,0,
HLA-DQB1,HLA-DQA2,0.17796,0,
B2M,HLA-G,0.27545,0,
B2M,HLA-B,0.84717,0,
B2M,HLA-B,0.84717,0,
B2M,HLA-B,0.84717,0,
B2M,HLA-B,0.84717,0,
B2M,CD1E,0.42024,0,
MFAP2,COL4A3,0.43195,0,
SERPINE2,PLAU,0.19863,0,
APCS,COL4A1,0.23001,0,
MFAP2,FBN1,0.62051,0,
FBN1,MYOC,0.20614,0,
FBLN2,FBN1,0.80601,0,
FBN2,FBN1,0.54361,0,
TG,APCS,0.08892,0,
SNX20,SELPLG,0.62001,0,
GALNT4,SELPLG,0.4315,0,
HDAC9,TRIM29,0.33843,0,
KLK1,CFH,0.55012,0,
SYNC,DTNA,0.38589,0,
CD2,CD5,0.8827,0,
CD6,CD5,0.93609,0,
MMP7,SERPINA1,0.15255,0,
SERPINA1,KLK5,0.0239,0,
SERPINA1,PRSS3,0.18935,0,
SERPINA1,PRSS2,0.23436,0,
SERPINA1,CTRB1,0.21073,0,
TNC,MEP1B,0.00621,0,
COL8A1,COL8A2,0.90432,0,
CD48,CD2,0.86344,0,
BST2,LILRA4,0.25336,0,
SERPINH1,COL26A1,0.35125,0,
C1QB,DEFA1B,0.04575,0,
CD248,LGALS3BP,0.47241,0,
C1QA,APCS,0.18264,0,
MFAP2,FBN2,0.53891,0,
LPA,MMP12,0.15413,0,
MYOC,MYL2,0.14172,0,
BTN1A1,XDH,0.06571,0,
SERPINA3,F5,0.09663,0,
LY6E,FCGR2B,0.27666,0,
FCGR2B,IGHG1,0.48417,0,
KIF15,MKI67,0.85422,0,
DAZL,DAZ1,0.01964,0,
ABCG5,ABCG8,0.96425,0,
HCN1,HCN2,0.06813,0,
CTRC,SERPINA3,0.01015,0,
CTRL,SERPINA3,0.04957,0,
CTRB1,SERPINA3,0.14436,0,
TNFAIP6,ACAN,0.53292,0,
LUM,ACAN,0.55017,0,
ECM1,COMP,0.33205,0,
MUC16,MSLN,0.2925,0,
LOXL2,MARCKSL1,0.33638,0,
PEX5L,HCN1,0.49157,0,
CHRNA3,CHRNB4,0.46246,0,
TFF3,MUC3A,0.31766,0,
SPC25,SPC24,0.30846,0,
IGHG1,IGKC,0.92426,0,
IGLC1,IGHG1,0.75042,0,
IGHG1,IGLV2-8,0.4296,0,
IGHM,SEL1L,0.16655,0,
CLCA1,KCNMB1,0.01744,0,
IGHM,JCHAIN,0.41084,0,
IGLC1,IGHV3-33,0.33498,0,
IGLC1,IGLV2-8,0.5172,0,
SLPI,PRSS2,0.37774,0,
UPK3B,UPK1B,0.14397,0,
ADAMTSL1,MMP10,0.17712,0,
COMP,MATN3,0.6825,0,
ADAMTS12,COMP,0.6048,0,
GP2,AMY2A,0.64375,0,
LIPF,CLPS,0.17319,0,
LYPD3,CTRB1,0.22101,0,
PNLIP,CLPS,0.86291,0,
TDH,GCAT,0.59525,0,
PRSS2,BPI,0.19825,0,
PNLIPRP2,CLPS,0.73406,0,
RYR2,GZMA,0.4212,0,
RYR2,SNCG,0.2547,0,
TG,RYR2,0.07455,0,
RYR2,CFH,0.49839,0,
ISG15,MX1,0.7764,0,
MX1,ISG15,0.7764,0,
TIMD4,HAVCR1,0.10783,0,
PRKCB,GAP43,0.06432,0,
HTR1B,TRPM8,0.03905,0,
DMD,NOS1,0.75827,0,
DMD,ACTA1,0.5963,0,
STMN1,EGF,0.489,0,
CDK1,STMN1,0.58171,0,
BDNF,STMN1,0.34082,0,
AURKB,STMN1,0.51781,0,
CAMK4,STMN1,0.48297,0,
PIWIL1,STMN1,0.12471,0,
ANXA1,TGM2,0.71387,0,
PRKCB,ANXA1,0.07613,0,
ERBB4,ANXA1,0.38275,0,
ANXA1,FPR2,0.3035,0,
ANXA1,FPR3,0.33988,0,
ANXA1,S100A11,0.59583,0,
CDK1,STMN2,0.19939,0,
RGS6,STMN2,0.186,0,
RGS20,STMN2,0.08638,0,
TRPV6,PRKCB,0.26509,0,
MET,LCK,0.19605,0,
LCK,SH2D1A,0.734,0,
LCK,CDC25C,0.35085,0,
LCK,CD28,0.73453,0,
LCK,THY1,0.37821,0,
LCK,ITGB2,0.47941,0,
LCK,CD79A,0.67518,0,
CD4,LCK,0.55743,0,
LCK,CD4,0.55743,0,
LCK,PIK3CG,0.53736,0,
LCK,CTLA4,0.68597,0,
ESR2,LCK,0.08663,0,
LCK,IL2RB,0.69512,0,
LCK,VAV1,0.61505,0,
VAV1,LCK,0.61505,0,
AXL,LCK,0.27881,0,
LCK,SIT1,0.72638,0,
LCK,PTPRC,0.69834,0,
PTPRC,LCK,0.69834,0,
CTNND2,LCK,0.48807,0,
LCK,CD3E,0.7425,0,
CD3E,LCK,0.7425,0,
LCK,ITK,0.70486,0,
ITK,LCK,0.70486,0,
CCR7,LCK,0.6987,0,
LCK,CD247,0.74583,0,
CD247,LCK,0.74583,0,
LCK,FCGR3A,0.27775,0,
FCGR3A,LCK,0.27775,0,
LCK,CD55,0.28073,0,
LCK,GRAP,0.67183,0,
LCK,SKAP1,0.12236,0,
LCK,DAPP1,0.69256,0,
LCK,PTPRH,0.26538,0,
CD5,LCK,0.74442,0,
LCK,CD5,0.74442,0,
LCK,CD48,0.73191,0,
LCK,CD2,0.69728,0,
LCK,SH2D2A,0.31537,0,
SH2D2A,LCK,0.31537,0,
LCK,CD79B,0.64417,0,
LCK,THEMIS,0.66357,0,
LCK,LAX1,0.59298,0,
LCK,TRAT1,0.70039,0,
VASP,ACTB,0.80787,0,
ACTB,VASP,0.80787,0,
VASP,EGF,0.57542,0,
ACTA1,VASP,0.34592,0,
ROS1,VASP,0.17048,0,
GUCY2C,VASP,0.04499,0,
ADORA2B,VASP,0.28394,0,
PALLD,VASP,0.43122,0,
GUCY2C,PDZD3,0.00012,0,
PDZD3,GUCY2C,0.00012,0,
TGM2,ACTB,0.53779,0,
FN1,TGM2,0.46982,0,
TGM2,LTBP1,0.43539,0,
SPARC,TGM2,0.40988,0,
TGM2,ITGB3,0.5293,0,
ANXA2,S100A10,0.89309,0,
S100A10,KCNK3,0.55646,0,
E2F7,E2F8,0.48364,0,
TNFSF9,TNFRSF9,0.18672,0,
TNFRSF9,TNFSF9,0.18672,0,
AURKA,NDC80,0.70819,0,
