FROM,TO,W,DRUG,
TRPC3,TRPC7,0.10867,0,
TRPC3,AQP2,0.03734,0,
CENPF,SNAP25,0.13244,0,
TRIM9,SNAP25,0.60631,0,
ELANE,F5,0.17583,0,
HJURP,CENPA,0.80973,0,
PRSS2,MMP9,0.02949,0,
SERPINA5,KLKB1,0.00057,0,
HNF1A,GATA5,0.08504,0,
SOX10,PAX3,0.32124,0,
TTR,AGER,0.06571,0,
AGER,S100B,0.39737,0,
HBB,HBZ,0.15165,0,
HBA1,HBB,0.97226,0,
HBA1,HBG2,0.14364,0,
PRSS1,DEFA5,0.00284,0,
HBG2,HBB,0.14101,0,
COL2A1,COL6A1,0.11777,0,
CHAD,COL2A1,0.13784,0,
COMP,COL2A1,0.02082,0,
MATN1,COL9A1,0.17354,0,
COL9A1,COMP,0.0595,0,
PCDHA1,PCDHGB1,0.27961,0,
CIDEC,CIDEA,0.56063,0,
GSTM2,GSTM1,0.11383,0,
MSS51,PTGS1,0.17081,0,
DEFA3,DEFA1B,0.79288,0,
PNLIP,CLPS,0.99819,0,
P2RX2,P2RX1,0.37363,0,
PNLIPRP2,CLPS,0.99765,0,
INS,NTRK1,0.06273,0,
NTRK1,SHC3,0.616,0,
NTRK1,MATK,0.18045,0,
FGF17,NTRK1,0.57862,0,
ANGPT4,NTRK1,0.44876,0,
NTF4,NTRK1,0.45178,0,
PGF,NTRK1,0.64534,0,
TRPC7,TRPC3,0.10867,0,
AQP2,TRPC3,0.03734,0,
SNAP25,CENPF,0.13244,0,
SNAP25,TRIM9,0.60631,0,
AVP,AQP2,0.00948,0,
CDC25C,ELANE,0.22247,0,
ELANE,CSF3R,0.59156,0,
F5,ELANE,0.17583,0,
ISG15,TOP2A,0.09523,0,
CENPA,HJURP,0.80973,0,
COL4A3,MMP9,0.14726,0,
COL4A6,MMP9,0.19625,0,
MMP26,MMP9,0.00662,0,
MMP9,PRSS2,0.02949,0,
GNRH1,CAMK2A,0.13699,0,
TPX2,HMMR,0.86434,0,
KLKB1,SERPINA5,0.00057,0,
LHB,LHCGR,0.0786,0,
CGB5,LHCGR,0.02952,0,
CGB7,LHCGR,0.1067,0,
CAMK2N2,CAMK2A,0.06146,0,
ISG15,EEF1A2,0.07837,0,
INS,NTRK3,0.07702,0,
INS,INSRR,0.05987,0,
GATA5,HNF1A,0.08504,0,
TLR9,KRT85,0.20978,0,
TLR9,AGER,0.71213,0,
PAX3,SOX10,0.32124,0,
GPRASP1,PBK,0.29809,0,
LEP,CRP,0.13431,0,
IL19,IL20RB,0.11454,0,
AGER,TTR,0.06571,0,
S100B,AGER,0.39737,0,
FGF17,NTRK3,0.72472,0,
ANGPT4,NTRK3,0.54643,0,
NTF4,NTRK3,0.66804,0,
PGF,NTRK3,0.65387,0,
L1CAM,ITGA5,0.63011,0,
ITGA5,TSPAN1,0.34339,0,
ITGA5,ANGPTL3,0.07552,0,
HBZ,HBB,0.15165,0,
HBB,HBA1,0.97226,0,
HBG2,HBA1,0.14364,0,
FGF17,INSRR,0.54595,0,
UCN2,CRHR2,0.11885,0,
ANGPT4,INSRR,0.49986,0,
RSPO1,LGR6,0.39513,0,
NPFFR2,NPY,0.04615,0,
NPY,NPY4R,0.08142,0,
NTF4,INSRR,0.54251,0,
DEFA5,PRSS1,0.00284,0,
L1CAM,NCAM1,0.57437,0,
IDS,SCN5A,0.44632,0,
EFNA2,EPHA8,0.01669,0,
BMP1,COL7A1,0.68787,0,
PGF,INSRR,0.46785,0,
HOXD9,MEIS1,0.67779,0,
HBB,HBG2,0.14101,0,
COL6A1,COL2A1,0.11777,0,
COL2A1,CHAD,0.13784,0,
COL2A1,COMP,0.02082,0,
GNG13,GNB3,0.18326,0,
COL9A1,MATN1,0.17354,0,
COMP,COL9A1,0.0595,0,
TSSK2,TSKS,0.42639,0,
PCDHGB1,PCDHA1,0.27961,0,
CIDEA,CIDEC,0.56063,0,
GSTM1,GSTM2,0.11383,0,
PTGS1,MSS51,0.17081,0,
DEFA1B,DEFA3,0.79288,0,
CLDN19,CLDN18,0.15732,0,
CLPS,PNLIP,0.99819,0,
P2RX1,P2RX2,0.37363,0,
CLPS,PNLIPRP2,0.99765,0,
NR5A1,STAR,0.72283,0,
NR5A1,POU5F1,0.23705,0,
PAX3,TBX2,0.19867,0,
SOX10,GJB1,0.28578,0,
HOXD3,ITGA5,0.16211,0,
HNF1A,SLC22A10,0.072,0,
CRP,HNF1A,0.02856,0,
HNF1A,INS,0.01707,0,
NR5A1,CYP17A1,0.6605,0,
NR5A1,CYP19A1,0.03249,0,
NR5A1,HSD3B2,0.22401,0,
NKX2-1,SFTPB,0.39523,0,
ERG,MMP9,0.00236,0,
MMP3,ERG,0.07092,0,
FOXL2,CYP19A1,0.04868,0,
SOX10,MPZ,0.90842,0,
