FROM,TO,W,DRUG,
RYR2,PKD2,0.58458,0,
RYR2,ITPR1,0.72094,0,
RYR2,AKAP6,0.52256,0,
RYR2,RTN1,0.27236,0,
PKD2,HAVCR1,0.30021,0,
ITPR1,PKD2,0.86456,0,
PKD2,TPM1,0.83115,0,
PKD2,FLNA,0.83569,0,
PKD2,ACTN2,0.29357,0,
JPH2,CAV3,0.23316,0,
ELAVL4,GAP43,0.92096,0,
GRIN2B,DLG2,0.38308,0,
PTPN5,GRIN2B,0.32726,0,
NOS2,CAV1,0.36437,0,
CAV1,KCNA5,0.61596,0,
PTGIS,CAV1,0.66539,0,
BRCA1,ITPR1,0.466,0,
TRPC1,DMD,0.81068,0,
NOS1,DMD,0.72716,0,
ACTA1,DMD,0.13119,0,
PGM5,DMD,0.85488,0,
SSTR5,DRD2,0.11706,0,
RGS2,ADCY5,0.67815,0,
RGS2,ADRA1A,0.35992,0,
LRRK2,RGS2,0.70262,0,
KCNE2,CACNA1C,0.09013,0,
TPM1,TPM2,0.9318,0,
TRPC1,FGFR1,0.85308,0,
L1CAM,FGFR1,0.6095,0,
FLRT1,FGFR1,0.5668,0,
CDC20,CDH1,0.49159,0,
HIST1H3J,CDH1,0.10931,0,
RRM2,CDH1,0.69214,0,
SIX1,CDH1,0.14679,0,
CDH1,ANK2,0.72833,0,
CAV3,SLC8A1,0.19675,0,
ANK2,SLC8A1,0.74675,0,
KCNMA1,TRPC1,0.7173,0,
KCNMA1,MAP1A,0.87619,0,
KCNMA1,CACNA1H,0.87576,0,
KCNMB1,KCNMA1,0.90689,0,
KCNMB2,KCNMA1,0.28978,0,
CAV3,TRPC1,0.27458,0,
CAV3,NOS1,0.14117,0,
CAV3,SVIL,0.14723,0,
CAV3,SLC22A11,0.2066,0,
TNNI3,ACTA1,0.02828,0,
CENPF,SNAP25,0.49415,0,
TRIM9,SNAP25,0.46405,0,
FLNA,BRCA1,0.42324,0,
FLNA,BRCA2,0.52424,0,
FLNC,FLNA,0.87543,0,
ASB2,FLNA,0.90959,0,
PHLDB2,FLNA,0.53502,0,
PDZD3,CFTR,0.20808,0,
NEFL,GRIN1,0.01392,0,
DLG4,GRIN1,0.15228,0,
TRDN,RYR1,0.56668,0,
IL1RAPL1,NCS1,0.51707,0,
DSN1,NDC80,0.76233,0,
NUF2,NDC80,0.87472,0,
CENPH,NDC80,0.80319,0,
