FROM,TO,W,DRUG,
STAP2,EGFR,0.75568,0,
EGFR,LINGO1,0.43289,0,
EGFR,IL13RA2,0.16486,0,
RRAD,EGFR,0.25885,0,
EGFR,IGFBP2,0.29178,0,
SLC5A1,EGFR,0.78114,0,
JPH2,CAV3,0.22717,0,
PTGFR,AGTR1,0.56933,0,
SNCA,HSPA8,0.62953,0,
HSPA8,CFTR,0.50584,0,
STMN2,RGS6,0.22344,0,
RGS20,STMN2,0.08197,0,
ABCC8,TRPM4,0.02111,0,
CRYBB1,ABCC8,0.02681,0,
KCNJ11,ABCC8,0.37968,0,
SCG3,TRPA1,0.07525,0,
CALR,MBL2,0.21884,0,
APOB,CALR,0.23993,0,
CALR,SLC6A4,0.34104,0,
CALR,PLAT,0.39911,0,
CALR,PRF1,0.32548,0,
CAV3,NOS1,0.02029,0,
CAV3,SLC22A11,0.00894,0,
TNNI2,TNNT3,0.83757,0,
PDZD3,CFTR,0.40792,0,
CDH2,GRIN1,0.01123,0,
PLAT,GRIN1,0.04556,0,
TGM2,FN1,0.34477,0,
TGM2,NME1,0.2115,0,
NUF2,NDC80,0.83529,0,
FASLG,FN1,0.17604,0,
MMP7,FASLG,0.19851,0,
ATF3,TP73,0.20071,0,
ATF3,STAT1,0.18646,0,
LTB,LTA,0.93612,0,
CTSL,RXRA,0.40057,0,
ZBTB16,RXRA,0.60966,0,
MYOD1,RXRA,0.04501,0,
PARP1,RXRA,0.60052,0,
GAPDH,SLC2A1,0.23698,0,
ELANE,GZMB,0.14805,0,
ELN,ELANE,0.29632,0,
SERPINA1,ELANE,0.11186,0,
SERPINA3,ELANE,0.08361,0,
TP73,BUB1B,0.39149,0,
MCM10,CDC45,0.77759,0,
AURKB,AJUBA,0.43513,0,
AJUBA,SLC1A2,0.25456,0,
JUN,TOP2A,0.35395,0,
CTSB,A2M,0.29424,0,
CTSB,APOE,0.35037,0,
CSTA,CTSB,0.19012,0,
NPAS4,ARNT2,0.23445,0,
AURKA,USP2,0.46521,0,
AURKA,AOC1,0.36953,0,
SLA2,AURKA,0.23792,0,
FOXG1,CDK1,0.1947,0,
SDC4,CXCR4,0.28638,0,
MET,LRIG1,0.35772,0,
KLF8,PARP1,0.71445,0,
BMP4,BMP8B,0.2806,0,
SND1,MYBL2,0.60569,0,
HJURP,CENPA,0.85257,0,
CEBPA,E2F1,0.49593,0,
KLF5,CEBPA,0.82926,0,
CEBPA,GATA2,0.42131,0,
WNT4,LGALS3BP,0.38823,0,
JAG2,DLL1,0.6696,0,
TIMD4,FN1,0.05535,0,
GZMB,FN1,0.17732,0,
FN1,DCN,0.27912,0,
CRP,FN1,0.07516,0,
FN1,TAC1,0.03119,0,
FN1,COL7A1,0.35466,0,
FN1,C1QA,0.31217,0,
FN1,LPA,0.14998,0,
MIA,FN1,0.24078,0,
LOXL3,FN1,0.38919,0,
ASCL1,CDK1,0.16705,0,
CDK1,ACE2,0.19772,0,
CDK1,FUT2,0.39943,0,
SERPINB5,IRF6,0.86741,0,
SERPINB5,PRSS21,0.17823,0,
CXCL8,CTSL,0.2206,0,
CD7,CTSL,0.22353,0,
CSTA,CTSL,0.22236,0,
CTSC,CTSL,0.35789,0,
CTSL,SERPINB13,0.30313,0,
CDH23,MAGI1,0.44993,0,
DLGAP2,NOS1,0.23149,0,
CCL4,CXCL8,0.13347,0,
NR1D1,APOA4,0.01286,0,
HIST1H1E,GZMA,0.10928,0,
RUNX1T1,ZBTB16,0.44708,0,
TIMP1,ZBTB16,0.31829,0,
ZBTB16,GATA1,0.32587,0,
ZBTB16,NLRP7,0.10357,0,
RNF112,ZBTB16,0.11083,0,
SOX2,TLX1,0.06473,0,
MMP9,BTC,0.13137,0,
PRSS2,MMP9,0.01494,0,
SNCA,GAPDH,0.45122,0,
ACTC1,SLC4A1,0.0414,0,
ACTC1,SCIN,0.07574,0,
CD28,PTPRC,0.88462,0,
KLF2,FBXW7,0.40841,0,
MYBPC3,TRIM63,0.18285,0,
KCNMB1,TRIM63,0.29849,0,
TRIM63,TNNC1,0.2616,0,
CD22,CD19,0.75155,0,
CXCL8,TAT,0.02633,0,
SOX2,PARP1,0.21013,0,
SOX2,POU5F1,0.18169,0,
TBX2,SOX2,0.2798,0,
GKN2,TFF1,0.99992,0,
MUC6,TFF1,0.99344,0,
ACTA1,KIF23,0.18694,0,
ALX4,LEF1,0.03034,0,
RUNX1T1,BCL6,0.42001,0,
MYOD1,JUN,0.02622,0,
DACH1,JUN,0.27785,0,
MAFB,JUN,0.44179,0,
GATA2,JUN,0.3284,0,
JUN,BATF2,0.28531,0,
HOXB7,NFKBIA,0.3726,0,
SUMO4,NFKBIA,0.33777,0,
ITGB2,VNN2,0.50393,0,
ESM1,ITGB2,0.03172,0,
BTG2,AR,0.472,0,
AR,CDC25A,0.57798,0,
ELF3,AR,0.32798,0,
SH3YL1,AR,0.67498,0,
HEY1,MYOD1,0.02585,0,
MAD2L1,UBD,0.18837,0,
MAD2L1BP,MAD2L1,0.43088,0,
NME1,RRAD,0.25205,0,
NME1,MCF2,0.2486,0,
FOS,MAF,0.41949,0,
GATA3,KPNA2,0.57234,0,
LHCGR,CHST9,0.14875,0,
PLK1,RGCC,0.36138,0,
NRG1,ADAM19,0.05751,0,
CDC6,KPNA2,0.82229,0,
CDA,KPNA2,0.17181,0,
PAX5,EBF1,0.03782,0,
TIMP1,MMP3,0.08034,0,
VAV1,ACTA1,0.11376,0,
ACTA1,COTL1,0.17799,0,
ACTA1,MYO10,0.17365,0,
SPTA1,ACTA1,0.06039,0,
ACTA1,CNN1,0.24048,0,
S100A1,ACTA1,0.12733,0,
AIF1,ACTA1,0.13804,0,
ACTA1,SPRR1A,0.00466,0,
EGLN3,ADRB2,0.55725,0,
E2F1,PAWR,0.61312,0,
SCNN1B,SCNN1A,0.83594,0,
RORA,HR,0.71205,0,
ELN,LYZ,0.11638,0,
CMA1,EDN2,0.08132,0,
FBXW7,KLF5,0.87552,0,
FBXW7,CEBPD,0.43638,0,
FBXW7,DISC1,0.53588,0,
KLF9,PGR,0.45828,0,
RAD51,BLM,0.6921,0,
RAD51AP1,RAD51,0.66121,0,
RAD51,RAD51AP2,0.45761,0,
BCL2L14,MELK,0.23946,0,
CDKN3,CDC25A,0.69323,0,
JUNB,FOS,0.7192,0,
JUNB,FOSL2,0.48483,0,
PRF1,GZMB,0.77057,0,
GZMB,GRIA3,0.11179,0,
RAB27A,GZMB,0.19551,0,
CSF2,PRG2,0.07477,0,
CD79A,IGHM,0.22144,0,
CD79A,JCHAIN,0.46824,0,
PARP1,BUB1B,0.64321,0,
CTSG,PARP1,0.39924,0,
PARP1,KLF5,0.66055,0,
RNF144A,PARP1,0.64737,0,
CST5,CTSS,0.08239,0,
ADM,EDN1,0.47975,0,
