FROM,TO,W,DRUG,
KCNJ11,ABCC8,0.81659,0,
TNNI3,ACTA1,0.08549,0,
NUF2,NDC80,0.81655,0,
GZMB,ELANE,0.02653,0,
ELANE,F5,0.01259,0,
BUB1B,TP73,0.38084,0,
GPRASP1,PER1,0.74078,0,
MCM10,MCM2,0.76831,0,
MCM10,CDC45,0.77969,0,
SPAG5,AURKA,0.63772,0,
PAX2,EYA1,0.02105,0,
PAX2,LMX1B,0.10267,0,
LTF,MUC7,0.0183,0,
LTF,CEL,0.01161,0,
MET,HGFAC,0.10638,0,
CCNF,MYBL2,0.71528,0,
HJURP,CENPA,0.83976,0,
GINS4,MCM2,0.75535,0,
DTL,CDT1,0.78014,0,
PLA2G2A,VCAN,0.02966,0,
SERPINB5,COL1A2,0.11039,0,
PRSS21,SERPINB5,0.19182,0,
CCNB1,TSPYL2,0.49124,0,
TIMP1,ZBTB16,0.22345,0,
RNF112,ZBTB16,0.55808,0,
LCN2,MMP9,0.16731,0,
ACTC1,FSCN1,0.06981,0,
UHRF1,HIST1H3J,0.39658,0,
TRIM63,MYBPC3,0.15365,0,
RAD51,POLQ,0.7268,0,
ACTA1,KIF23,0.30558,0,
BRCA1,FANCA,0.64988,0,
CENPE,FANCA,0.59772,0,
ACTN2,KCNA5,0.59707,0,
ADAM12,ACTN2,0.17323,0,
BRCA1,TP63,0.02199,0,
ECT2,PLK4,0.73643,0,
MAD2L1,UBD,0.27918,0,
VTN,IGF2,0.20544,0,
CDC6,KPNA2,0.17231,0,
CHEK1,CNTN2,0.35823,0,
MMP3,TIMP1,0.21939,0,
GJB2,GJB3,0.50191,0,
RAD51,BLM,0.53846,0,
RAD51AP1,RAD51,0.76741,0,
LUM,COL1A2,0.78385,0,
CDKN3,CDC25A,0.60105,0,
GZMB,GRIA3,0.18399,0,
CCNE1,HIST1H1B,0.08227,0,
CDH16,CRYAB,0.1001,0,
CHRNA1,ITGA7,0.24545,0,
CFTR,SLC26A9,0.17322,0,
FHL1,KCNA5,0.79069,0,
COL2A1,BGN,0.13149,0,
GCM1,DLX3,0.05132,0,
FOXP3,HIST1H1B,0.26609,0,
FCN2,CRP,0.0004,0,
CRP,SNRNP70,0.01879,0,
APCS,CRP,0.86448,0,
FCGR1A,FCGR3A,0.91815,0,
FCGR3A,IGHG1,0.41757,0,
CCKBR,CCKAR,0.61328,0,
CHRM2,SAG,0.02509,0,
HAND2,PHOX2A,0.69874,0,
HAND1,ACHE,0.01271,0,
NR2E3,CRX,0.02667,0,
