FROM,TO,W,DRUG,
PTEN,MME,0.49827,0,
MVP,PTEN,0.52898,0,
PTEN,WWP2,0.65724,0,
PTEN,ECSCR,0.33075,0,
STAP2,EGFR,0.34519,0,
LINGO1,EGFR,0.30142,0,
IL13RA2,EGFR,0.42033,0,
HIP1,EGFR,0.40836,0,
EGFR,RAB31,0.41068,0,
IGFBP2,EGFR,0.46585,0,
EGFR,SLC5A1,0.07015,0,
GABARAP,KDR,0.39625,0,
GABARAP,GABRG2,0.12961,0,
PTPN13,CRIP2,0.23242,0,
HAVCR1,SEMA4A,0.07902,0,
GAP43,PRKCD,0.24479,0,
ELAVL4,GAP43,0.10963,0,
TRPC4,SLC9A3R2,0.1719,0,
SLC9A3R2,PODXL,0.59899,0,
CAV1,NOS2,0.09121,0,
CAV1,IGFBP3,0.50413,0,
CAV1,MCL1,0.32403,0,
FLOT1,CAV1,0.27736,0,
NCF1,CAV1,0.30653,0,
CAV1,CAV2,0.84062,0,
CAV1,HTR1F,0.17362,0,
S1PR1,CAV1,0.17822,0,
MALL,CAV1,0.31928,0,
FLNA,CASR,0.06816,0,
PI4K2B,CASR,0.1107,0,
VASP,TRPC4,0.09846,0,
PACSIN3,ADAM12,0.362,0,
UBC,LYN,0.28419,0,
UBC,GJA1,0.27225,0,
SLC2A1,UBC,0.13966,0,
ARRB2,UBC,0.59028,0,
USP3,UBC,0.33307,0,
UBC,BMI1,0.32395,0,
UBC,MAPT,0.16672,0,
CBL,UBC,0.1926,0,
UBC,LEPR,0.14698,0,
HIF1A,UBC,0.22871,0,
CSF3R,UBC,0.36458,0,
DCN,UBC,0.16432,0,
UBC,FTH1,0.64774,0,
UBC,NFATC4,0.28984,0,
USP2,UBC,0.24361,0,
RABGEF1,UBC,0.35333,0,
UBC,RAG1,0.2814,0,
KLF1,UBC,0.1678,0,
ZC3H12A,UBC,0.55526,0,
UBC,PEX5,0.41826,0,
UBC,TOM1,0.6917,0,
UBC,ANKS1B,0.13366,0,
USP15,UBC,0.19394,0,
UBC,UBTD2,0.44285,0,
TRPC1,DMD,0.54808,0,
DMD,ACTC1,0.04159,0,
DMD,ACTA1,0.01986,0,
DAG1,DMD,0.71431,0,
DRD2,ARRB2,0.12714,0,
PAWR,DRD2,0.18318,0,
STMN1,STAT3,0.56036,0,
KCNQ3,KCNQ2,0.05311,0,
ADCY5,RGS2,0.2026,0,
LRRK2,RGS2,0.81289,0,
ANXA1,KRT8,0.25863,0,
PLA2G4A,ANXA1,0.66611,0,
S100A11,ANXA1,0.5869,0,
TJP1,VMP1,0.47114,0,
CDC42BPB,TJP1,0.92065,0,
TJP1,UBN1,0.42925,0,
CSF2RB,EPOR,0.16673,0,
STXBP2,STX3,0.47521,0,
RGS20,STMN2,0.00521,0,
IQGAP1,EPB41,0.35887,0,
TUBA4A,EPB41,0.10525,0,
EPB41,GYPC,0.41767,0,
EPB41,SLC4A1,0.61825,0,
EPB41,BCAM,0.1419,0,
SPTB,EPB41,0.66065,0,
KCNJ8,ABCC8,0.15624,0,
CDC20,CDH1,0.17321,0,
IRS1,CDH1,0.65972,0,
MYO6,CDH1,0.78732,0,
SIX1,CDH1,0.82504,0,
SCG3,TRPA1,0.04224,0,
APP,CASP4,0.38,0,
NUMB,SELP,0.35531,0,
SLC8A1,CAV3,0.05071,0,
CTTN,CTNND1,0.81257,0,
CTTN,KCNA2,0.45261,0,
SHANK2,CTTN,0.59235,0,
SRCIN1,CTTN,0.5516,0,
CTTNBP2,CTTN,0.57151,0,
TRPC1,CAV3,0.05282,0,
CAV3,DAG1,0.04905,0,
DYSF,CAV3,0.03291,0,
ACTA1,TNNI3,0.00608,0,
TNNI3,PAPPA,0.02025,0,
TNNC1,TNNI3,0.14745,0,
FLNA,SMAD5,0.31706,0,
DCN,FLNA,0.13041,0,
FLNB,FLNA,0.29361,0,
FLNA,CALCR,0.10157,0,
FLNA,KCNJ2,0.26918,0,
F3,FLNA,0.14631,0,
FLNA,PHLDB2,0.11652,0,
PDLIM2,FLNA,0.13027,0,
