FROM,TO,W,DRUG,
RYR2,PKD2,0.571,0,
RYR2,ITPR1,0.54419,0,
COL2A1,PKD1,0.08609,0,
PKD2,HAVCR1,0.11283,0,
PKHD1,PKD2,0.0914,0,
ITPR1,PKD2,0.73931,0,
PKD2,TPM1,0.70392,0,
PKD2,FLNA,0.75859,0,
PKD2,ACTN2,0.26586,0,
CABP1,CACNA1C,0.66268,0,
TRPC3,SLC2A4,0.11157,0,
JPH2,CAV3,0.20169,0,
TRPC4,TRPC3,0.09935,0,
TRPC3,SLC8A1,0.1251,0,
AQP2,TRPC3,0.0297,0,
GRIN2B,DLG2,0.106,0,
TRPV4,AQP5,0.37904,0,
CAV1,ABCB1,0.73539,0,
CAV1,KCNA5,0.58467,0,
CAV1,TEK,0.76179,0,
CAV1,CAV2,0.89838,0,
CAV1,EDNRB,0.77641,0,
CAV1,S1PR1,0.81928,0,
LRP1,CAV1,0.7056,0,
PTGIS,CAV1,0.73415,0,
FLNA,CASR,0.16066,0,
TRPV4,CDH1,0.37576,0,
PTGFR,AGTR1,0.22617,0,
CA8,ITPR1,0.3377,0,
TRPC1,DMD,0.71947,0,
ACTC1,DMD,0.27191,0,
ACTA1,DMD,0.21355,0,
PGM5,DMD,0.84028,0,
RGS2,ADRA1A,0.30563,0,
LRRK2,RGS2,0.59178,0,
TPM1,TPM2,0.93568,0,
TPM1,TNNT1,0.1515,0,
CRYBB1,ABCC8,0.01634,0,
KCNJ8,ABCC8,0.23125,0,
CDC20,CDH1,0.31095,0,
RRM2,CDH1,0.48007,0,
SIX1,CDH1,0.32218,0,
THBS1,CALR,0.33321,0,
NKX2-1,CALR,0.05467,0,
CALR,FBN1,0.46002,0,
PDIA2,CALR,0.09303,0,
NEDD4,TRPV6,0.40371,0,
SLC9A3R1,FZD4,0.43177,0,
RLBP1,SLC9A3R1,0.03691,0,
NEDD4,LAPTM4B,0.42507,0,
CAV3,SLC8A1,0.26178,0,
KCNMA1,TRPC1,0.74063,0,
KCNMA1,TBXA2R,0.75505,0,
KCNMA1,CACNA1H,0.85398,0,
KCNMB1,KCNMA1,0.90037,0,
KCNMA1,LRRC26,0.11917,0,
SCG3,CHGA,0.07098,0,
CAV3,TRPC1,0.22511,0,
CAV3,SVIL,0.18321,0,
TNNI3,ACTA1,0.05895,0,
TNNI3,RCAN3,0.04428,0,
TNNI3,PAPPA,0.14303,0,
TNNC1,TNNI3,0.28431,0,
CENPF,SNAP25,0.35643,0,
TRIM9,SNAP25,0.61502,0,
FLNA,BRCA2,0.35657,0,
FLNA,DCN,0.617,0,
FLNC,FLNA,0.9124,0,
FLNA,CALCR,0.24783,0,
ASB2,FLNA,0.91534,0,
PHLDB2,FLNA,0.72847,0,
S100A1,RYR1,0.18701,0,
RYR1,TRDN,0.05394,0,
NME1,TGM2,0.33697,0,
TGM2,S100A7,0.05395,0,
AKAP13,TGM2,0.45362,0,
NUF2,NDC80,0.7304,0,
CENPH,NDC80,0.60408,0,
ADCYAP1,SHH,0.0414,0,
SLC2A1,GAPDH,0.39257,0,
CXCL12,ELANE,0.11683,0,
GZMB,ELANE,0.09086,0,
TGFA,ELANE,0.12183,0,
SERPINA1,ELANE,0.03385,0,
ELANE,F5,0.04346,0,
EZH2,MYCN,0.26794,0,
RUNX3,MYCN,0.04637,0,
BUB1B,TP73,0.13336,0,
H2AFX,USP17L2,0.29636,0,
GPRASP1,PER1,0.83364,0,
MCM10,MCM2,0.78543,0,
MCM10,CDC45,0.75084,0,
SPAG5,AURKA,0.77657,0,
AOC1,AURKA,0.3257,0,
EYA1,PAX2,0.0638,0,
WT1,PAX2,0.18564,0,
PAX2,LMX1B,0.1818,0,
AIFM1,KANK2,0.58469,0,
FOXG1,CDK1,0.3839,0,
CRYAA,MIP,0.03644,0,
LTF,LYZ,0.00317,0,
LTF,CP,0.33071,0,
MUC7,LTF,0.00798,0,
MECOM,HIC1,0.49045,0,
MUC1,MET,0.1831,0,
EFEMP1,TIMP3,0.5838,0,
CCNF,MYBL2,0.80627,0,
HJURP,CENPA,0.8281,0,
GINS4,MCM2,0.55358,0,
IL1A,NFKBIE,0.03646,0,
DTL,CDT1,0.61433,0,
E2F1,SETD7,0.4913,0,
EZR,ACTC1,0.22793,0,
EZR,ERBB2,0.16995,0,
S100P,EZR,0.33273,0,
MUC1,GALNT15,0.19973,0,
HIST1H1C,CDK1,0.23259,0,
FUT2,CDK1,0.25858,0,
SERPINB5,IRF6,0.17535,0,
PRSS21,SERPINB5,0.15312,0,
CDH23,USH1C,0.17483,0,
CD300LF,PTPN6,0.50405,0,
TGFB1I1,CBLC,0.23546,0,
WSB1,LRRK2,0.72889,0,
CCNB1,TSPYL2,0.62587,0,
RUNX1T1,ZBTB16,0.59306,0,
ZBTB16,GATA1,0.32855,0,
ZBTB16,NLRP7,0.13497,0,
ZBTB16,GNAO1,0.44261,0,
RNF112,ZBTB16,0.66621,0,
MYLK,PPP1R12A,0.8192,0,
TLX1,SOX2,0.00705,0,
LCN2,MMP9,0.03011,0,
USH1C,ANKS4B,0.67036,0,
COL17A1,KRT18,0.13183,0,
GAPDH,SNCA,0.46668,0,
CAMP,GAPDH,0.29979,0,
PDIA2,GAPDH,0.12555,0,
FOXP3,PPP1CA,0.49974,0,
ACTC1,SCIN,0.10382,0,
ACTC1,ABLIM3,0.25648,0,
VAV1,PRLR,0.24139,0,
ECT2,RACGAP1,0.69679,0,
RACGAP1,VAV1,0.26602,0,
APBB1,BLM,0.70568,0,
LRP1,APBB1,0.88078,0,
TSHZ3,APBB1,0.84993,0,
UHRF1,EZH2,0.68907,0,
UHRF1,HIST2H3A,0.09906,0,
UHRF1,EME1,0.54553,0,
TRIM63,KCNMB1,0.43563,0,
TNNC1,TRIM63,0.08192,0,
SFN,ANPEP,0.09219,0,
SOX2,TBX2,0.04954,0,
RAD51,POLQ,0.53766,0,
ACTA1,KIF23,0.19953,0,
KIF23,MICAL3,0.42514,0,
CENPE,FANCA,0.56753,0,
RUNX1T1,BCL6,0.49303,0,
ACTN2,KCNA5,0.22099,0,
PALLD,ACTN2,0.25375,0,
EZH2,VAV1,0.21503,0,
KDR,PDGFRB,0.68139,0,
MYB,TAL1,0.40438,0,
ECT2,PLK4,0.62181,0,
MAD2L1,UBD,0.18295,0,
CENPH,KIF2C,0.74495,0,
MAF,SOX9,0.44271,0,
MAF,MAFA,0.166,0,
LHCGR,CHST9,0.08087,0,
NCAM1,BDNF,0.15205,0,
FLI1,GATA1,0.48886,0,
CDC6,KPNA2,0.69568,0,
KPNA2,FERMT2,0.55162,0,
SNCA,HIST2H3A,0.11386,0,
PAX5,EBF1,0.10806,0,
F12,EPAS1,0.25959,0,
ISG15,NEDD4,0.36559,0,
CAMP,LBP,0.13022,0,
VAV1,ACTA1,0.12314,0,
VIL1,ACTA1,0.09864,0,
NEXN,ACTA1,0.15115,0,
EPS8,ACTA1,0.25629,0,
ACTA1,MYO10,0.23286,0,
ACTA1,SPTA1,0.20303,0,
ACTA1,CNN1,0.11303,0,
S100A1,ACTA1,0.08746,0,
SPRR1A,ACTA1,0.027,0,
ACTA1,SMTN,0.21665,0,
CCIN,ACTA1,0.05243,0,
ADRB2,EGLN3,0.16081,0,
SCNN1A,NEDD4,0.57847,0,
PAX8,NKX2-1,0.14013,0,
RORA,FOXP3,0.46421,0,
CFTR,NEDD4,0.15088,0,
TTYH2,NEDD4,0.67808,0,
AMPH,NEDD4,0.66742,0,
NEDD4,KCNJ16,0.04282,0,
NEDD4,SFTPC,0.1609,0,
PGC,CAMP,0.08088,0,
PBX1,MEIS2,0.83153,0,
EDN2,CMA1,0.10623,0,
MMP15,PROC,0.23397,0,
SOX9,NR5A1,0.00895,0,
GJB2,GJB3,0.22232,0,
HGF,LCN2,0.09869,0,
RAD51,BLM,0.74054,0,
RAD51AP1,RAD51,0.53142,0,
RAD54B,RAD51,0.34429,0,
BCL2L14,MELK,0.30711,0,
CDKN3,CDC25A,0.68742,0,
GZMB,GRIA3,0.06563,0,
INSM1,SORBS1,0.04422,0,
FGF2,DCN,0.77365,0,
FGF2,FGFBP1,0.19196,0,
CD79A,PIGR,0.01187,0,
CD79A,IGHM,0.7365,0,
CD79A,AMBP,0.04424,0,
CD79A,JCHAIN,0.78134,0,
SERPINB4,CTSS,0.12021,0,
CTSS,KNG1,0.04263,0,
SSTR3,MPDZ,0.53085,0,
PTPN3,VDR,0.56741,0,
SYTL4,INS,0.32825,0,
INS,CTSE,0.03638,0,
THBS1,DCN,0.47115,0,
KNG1,THBS1,0.02878,0,
COL5A1,THBS1,0.26601,0,
FOXP3,RUNX1,0.30822,0,
NKX2-1,GATA6,0.11969,0,
DES,S100A1,0.14354,0,
SYNC,DES,0.8099,0,
KRT8,CFTR,0.00548,0,
HNF4A,HNF1A,0.45239,0,
CDX2,HNF1A,0.18966,0,
BCL6,BCL11A,0.31062,0,
NKX2-5,TBX2,0.08491,0,
PTK6,ERBB2,0.03284,0,
RECK,ERBB2,0.1483,0,
SIX1,EYA2,0.15298,0,
PITX1,NR5A1,0.03576,0,
CHRNA1,ITGA7,0.16989,0,
CHRND,CHRNA1,0.22915,0,
PLEKHB1,GNGT1,0.27443,0,
LMCD1,GATA6,0.54043,0,
DCN,SFTPD,0.15025,0,
COL5A1,DCN,0.40576,0,
FBN1,DCN,0.71195,0,
PLA2G2A,DCN,0.15075,0,
COL14A1,DCN,0.69381,0,
C1QA,DCN,0.15194,0,
ADRB2,CFTR,0.14946,0,
ADRB2,OPRD1,0.16736,0,
HTR4,ADRB2,0.35366,0,
ADRB2,GNA15,0.16905,0,
ADRB3,ADRB2,0.23644,0,
S100A9,S100A8,0.82349,0,
PDZK1,CFTR,0.25876,0,
SLC26A9,CFTR,0.21505,0,
FHL1,KCNA5,0.54415,0,
VAV1,AOC3,0.23315,0,
IL16,FCGR1A,0.02142,0,
GRIN2A,ACTN1,0.24966,0,
MYOT,ACTN1,0.38223,0,
CTSG,F5,0.03559,0,
RAB3B,PIGR,0.17489,0,
DLX3,GCM1,0.0109,0,
IKZF3,FOXP3,0.39445,0,
NDN,NGFR,0.51451,0,
BOC,CDON,0.75167,0,
CAMP,P2RX7,0.16013,0,
TRAIP,SYK,0.40668,0,
FCGR1A,FCGR3A,0.90941,0,
CD38,FCGR3A,0.5172,0,
FCGR3A,IGHG1,0.68346,0,
PAX9,MSX1,0.03143,0,
MSX1,LHX2,0.02447,0,
ONECUT1,NR0B2,0.00543,0,
SFTPD,MFAP4,0.15522,0,
SFTPD,UPK1A,0.03662,0,
WWC1,DDN,0.05256,0,
HNF4A,CITED2,0.10626,0,
NR0B1,HNF4A,0.24095,0,
ST14,F2RL1,0.41766,0,
EDARADD,EDAR,0.01899,0,
PHLDB2,FLNC,0.63896,0,
KY,FLNC,0.67609,0,
EEF1A2,LRRK2,0.08622,0,
AREG,WT1,0.18427,0,
PLEKHH2,TGFB1I1,0.67355,0,
OPRD1,GNA15,0.00897,0,
CALCA,CALCA,1,0,
BMP7,GDF7,0.15746,0,
MC4R,ATRNL1,0.10753,0,
GALR2,NPY1R,0.07574,0,
CTSE,EDN3,0.01805,0,
KNG1,VTN,0.00361,0,
KNG1,HABP2,0.00238,0,
ANK1,RHAG,0.08464,0,
SPTA1,ANK1,0.08537,0,
JAKMIP1,GABBR1,0.23058,0,
ADORA1,P2RY1,0.21425,0,
NCAPH,CAPG,0.29821,0,
SPTBN2,SPTA1,0.21585,0,
NFASC,DCX,0.06626,0,
NEFM,NEFH,0.07716,0,
AMPH,VTN,0.38852,0,
IGFBP5,VTN,0.43846,0,
HOXB1,PBX1,0.13673,0,
PDZK1,PDZK1IP1,0.11227,0,
PHOX2A,HAND2,0.07297,0,
FBXO32,MYOCD,0.64951,0,
HECW1,RNF43,0.13837,0,
