NAME,LOG,CORE,ESTROGEN_RESPONSE_LATE,GLYCOLYSIS,INFLAMMATORY_RESPONSE,INTERFERON_GAMMA_RESPONSE,MITOTIC_SPINDLE,XENOBIOTIC_METABOLISM,ALLOGRAFT_REJECTION,MYC_TARGETS_V1,ADIPOGENESIS,ESTROGEN_RESPONSE_EARLY,G2M_CHECKPOINT,P53_PATHWAY,E2F_TARGETS,MTORC1_SIGNALING,UV_RESPONSE_UP,OXIDATIVE_PHOSPHORYLATION,DNA_REPAIR,FATTY_ACID_METABOLISM,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,UNFOLDED_PROTEIN_RESPONSE,INTERFERON_ALPHA_RESPONSE,SPERMATOGENESIS,CHOLESTEROL_HOMEOSTASIS,REACTIVE_OXYGEN_SPECIES_PATHWAY,MYC_TARGETS_V2,UV_RESPONSE_DN,MYOGENESIS,APICAL_JUNCTION,EPITHELIAL_MESENCHYMAL_TRANSITION,APOPTOSIS,ANDROGEN_RESPONSE,PROTEIN_SECRETION,IL2_STAT5_SIGNALING,COMPLEMENT,KRAS_SIGNALING_DN
RYR2,-2.28299377032573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL2A1,5.18038348737767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PKD2,-2.88066164914866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKHD1,3.65439577908418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITPR1,-3.90365826537218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CABP1,-2.76302451540254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPC3,-2.4205554281317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPH2,-5.38820130871355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPC4,-4.55190330644472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQP2,2.35218808465685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIN2B,3.48557893522526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
