FROM,TO,W,DRUG,
CAV1,IGFBP3,0.44566,0,
CAV1,CAV2,0.72413,0,
TNNC1,TNNI1,0.63796,0,
SSTR5,DRD2,0.03157,0,
CAV3,NOS1,0.07192,0,
FASLG,FN1,0.09758,0,
LTA,UMOD,0.22222,0,
PTTG1,USP44,0.17855,0,
MCM10,CDC45,0.86527,0,
ALB,CRYAA,0.01635,0,
MYBL2,CCND1,0.09557,0,
HJURP,CENPA,0.90909,0,
SELPLG,VCAN,0.29673,0,
GZMB,FN1,0.14257,0,
DCN,FN1,0.08354,0,
FN1,CRP,0.06041,0,
FN1,TAC1,0.04204,0,
LOX,FN1,0.27114,0,
FN1,C1QA,0.27213,0,
FN1,TNFAIP6,0.01958,0,
DLGAP2,NOS1,0.40864,0,
MMP9,PRSS2,0.03586,0,
ESM1,ITGB2,0.01542,0,
AFP,CCR5,0.09416,0,
ACTA1,SPRR1A,0.09732,0,
ACTA1,DNASE1,0.01198,0,
SCNN1B,SCNN1A,0.41896,0,
PRF1,GZMB,0.62779,0,
SERPINE1,F2,0.0573,0,
KNG1,CTSS,0.26587,0,
VIM,NCR1,0.09917,0,
GFI1,SPI1,0.52965,0,
PIP,SPI1,0.05814,0,
TREM1,TYROBP,0.16286,0,
TREM2,TYROBP,0.87168,0,
TBX5,NKX2-5,0.08369,0,
CHRNA1,CHRND,0.0723,0,
GNGT1,PLEKHB1,0.01565,0,
C1QA,DCN,0.08554,0,
PLG,PTX3,0.02497,0,
PTX3,C1QA,0.00496,0,
C1QA,SFTPA1,0.00453,0,
CFHR4,CRP,0.00042,0,
ANXA4,GP2,0.29838,0,
CNTN1,SCNN1B,0.44602,0,
CD247,CD2,0.90258,0,
FCGR1A,FCGR3A,0.80975,0,
C3,CR2,0.11481,0,
CR2,CR1,0.4095,0,
CALCA,CALCA,1,0,
C3,PAPPA,0.21948,0,
MASP1,C3,0.12199,0,
KNG1,PLG,0.53443,0,
F11,KNG1,0.92752,0,
SLC4A1,ANK1,0.18028,0,
HRG,FGA,0.45183,0,
SERPINA5,FGA,0.03515,0,
HLA-DPA1,HLA-DPB1,0.89861,0,
HLA-DQB1,HLA-DQA2,0.00318,0,
LOX,DPT,0.07084,0,
HECW1,RNF43,0.29224,0,
ESRRB,POU5F1,0.18918,0,
POU5F1,FOXD3,0.10246,0,
CP,PROC,0.07045,0,
SNX20,SELPLG,0.77837,0,
GRIK5,GRIK2,0.43708,0,
PROZ,F2,0.03429,0,
GPM6B,SLC6A4,0.06384,0,
SERPINA5,FGB,0.02349,0,
C1QA,ADIPOQ,0.02437,0,
PLG,CSPG4,0.19662,0,
